"1998","Num studies:1","","2000","Num studies:1","","2001","Num studies:1","","2002","Num studies:2","","2003","Num studies:5","","2004","Num studies:4","","2005","Num studies:8","","2006","Num studies:5","","2007","Num studies:3","","2008","Num studies:11","","2009","Num studies:13","","2010","Num studies:14","","2011","Num studies:12","","2012","Num studies:18","","2013","Num studies:17","","2014","Num studies:19","","2015","Num studies:14","","2016","Num studies:30","","2017","Num studies:32","","2018","Num studies:21","","2019","Num studies:35","","2020","Num studies:20","","2021","Num studies:2","","No Start Date","Num studies:4",""
"","","","","","","","","","","","","","","","","","","galantamine",1,"0.026595744680851064%","","","","matched",1,"0.20449897750511248%","differences",1,"0.021593608291945583%","comprehensive",2,"0.08791495860461379%","4-week",1,"0.010262725779967159%","clear",2,"0.04604051565377532%","vs",2,"0.01946118754143171%","saliva",1,"0.009366804046459348%","substantial",3,"0.0538263302265253%","likely",1,"0.01289324394017535%","patient-centred",5,"0.008680555555555556%","p-tau",3,"0.026785714285714284%","samples",3,"0.029375679418305163%","structure",6,"0.06506706910559065%","syndrome",2,"0.01823650935714622%","","","","diagnosed",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","memantine",1,"0.026595744680851064%","","","","healthy",1,"0.20449897750511248%","concentrations",1,"0.021593608291945583%","drawn",2,"0.08791495860461379%","follow-up",1,"0.010262725779967159%","regarding",2,"0.04753006174845629%","executive",2,"0.024300434283841363%","interpret",1,"0.009366804046459348%","quality",3,"0.09116062766828854%","today",1,"0.01289324394017535%","innovations",5,"0.008680555555555556%","together",3,"0.06542341516874624%","standardized",3,"0.01883317585230733%","procedure",6,"0.06841762737754535%","long-term",2,"0.02879054978005503%","","","","evaluated",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","dose",1,"0.026595744680851064%","","","","equipment",1,"0.20449897750511248%","commonly",1,"0.021593608291945583%","apoe",2,"0.08791495860461379%","receive",1,"0.010262725779967159%","standardized",2,"0.04604051565377532%","functions",2,"0.08593634245228378%","already",1,"0.009366804046459348%","previous",3,"0.05173653157862502%","current",1,"0.01289324394017535%","costs",5,"0.008680555555555556%","via",3,"0.028834796468753653%","fragile",3,"0.025189786059351276%","make",6,"0.017238475129646953%","ability",2,"0.025858528822955702%","","","","entry",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","unchanged",1,"0.026595744680851064%","","","","apparatus",1,"0.20449897750511248%","studied",1,"0.021593608291945583%","genotyping",2,"0.08791495860461379%","hours",1,"0.010262725779967159%","found",2,"0.04604051565377532%","processes",2,"0.01946118754143171%","approved",1,"0.009366804046459348%","personalized",3,"0.10814708002883923%","aims",1,"0.01289324394017535%","coordination",5,"0.008680555555555556%","once",3,"0.02684183352788004%","assessed",3,"0.014696626010949728%","type",6,"0.03291243802995364%","organization",2,"0.03568924063313965%","","","","must",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","last",1,"0.026595744680851064%","","","","450",1,"0.20449897750511248%","search",1,"0.021593608291945583%","during",2,"0.08791495860461379%","week",1,"0.010262725779967159%","interactive",2,"0.04566518536311955%","measure",2,"0.01966568338249754%","seasickness",1,"0.009366804046459348%","music",3,"0.10814708002883923%","eeg-cholinergic",1,"0.01289324394017535%","interviews",5,"0.008680555555555556%","showed",3,"0.02059607447538482%","interventional",3,"0.02587991718426501%","mci",6,"0.07299279263391846%","percent",2,"0.03105590062111801%","","","","meet",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","before",1,"0.026595744680851064%","","","","gms",1,"0.20449897750511248%","diagnostic",1,"0.021593608291945583%","restricted",2,"0.08791495860461379%","use",1,"0.010262725779967159%","home",2,"0.049019607843137254%","state",2,"0.017769349627756708%","temporarily",1,"0.009366804046459348%","adults",3,"0.07892679508584068%","follow",1,"0.01289324394017535%","documents",5,"0.008680555555555556%","loss",3,"0.03261178476695718%","non-pharmacological",3,"0.053502589734473784%","center",6,"0.05518558300513188%","type",2,"0.0772563453722874%","","","","entering",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","entry",1,"0.026595744680851064%","","","","carried",1,"0.20449897750511248%","solid",1,"0.021593608291945583%","iq",2,"0.08791495860461379%","feedforward",1,"0.010262725779967159%","interest",2,"0.047154731457800504%","anatomical",2,"0.01946118754143171%","safely",1,"0.009366804046459348%","accumulation",3,"0.039502698996177144%","extension",1,"0.01289324394017535%","unique",4,"0.03934695795160912%","p",3,"0.027550852245974197%","treated",3,"0.07056808913144667%","digital",6,"0.02551089015333428%","taiwan",2,"0.03105590062111801%","","","","obtaining",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","remains",1,"0.026595744680851064%","","","","24",1,"0.20449897750511248%","foundation",1,"0.021593608291945583%","45",2,"0.08791495860461379%","instruction",1,"0.010262725779967159%","because",2,"0.049019607843137254%","aβ42",2,"0.06274289460130168%","mimic",1,"0.009366804046459348%","hku",3,"0.08266740148801323%","further",1,"0.01289324394017535%","already",4,"0.034085490094073786%","05",3,"0.027550852245974197%","structured",3,"0.04083994675236102%","protocol",6,"0.023341860391572315%","than",2,"0.03105590062111801%","","","","informed",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","stable",1,"0.026595744680851064%","","","","hours",1,"0.20449897750511248%","future",1,"0.021593608291945583%","reduce",2,"0.08791495860461379%","how",1,"0.010262725779967159%","frequent",2,"0.049019607843137254%","phosphorylated",2,"0.05612913798754507%","signs",1,"0.009366804046459348%","ncd",3,"0.08266740148801323%","clinic",1,"0.01289324394017535%","contrast",4,"0.03551577008348194%","status",3,"0.02081070070613797%","aimed",3,"0.0575620698971244%","retinopathy",6,"0.018512804689910522%","experts",2,"0.07234613212874083%","","","","consent",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","during",1,"0.026595744680851064%","","","","2-4",1,"0.20449897750511248%","aimed",1,"0.021593608291945583%","variability",2,"0.08791495860461379%","actions",1,"0.010262725779967159%","large",2,"0.047154731457800504%","polymorphism",2,"0.03907260777312011%","methodological",1,"0.009366804046459348%","annual",3,"0.04324330539834969%","three",1,"0.01289324394017535%","detection",4,"0.042301931204194086%","very",3,"0.023854177830171828%","functioning",3,"0.039538349922744645%","amd",6,"0.018512804689910522%","2016",2,"0.01823650935714622%","","","","brief",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","period",1,"0.026595744680851064%","","","","transferred",1,"0.20449897750511248%","elucidating",1,"0.021593608291945583%","extreme",2,"0.08791495860461379%","prevent",1,"0.010262725779967159%","them",2,"0.049019607843137254%","hundred",2,"0.02043504694994258%","you",1,"0.009366804046459348%","conversion",3,"0.04324330539834969%","participation",1,"0.01289324394017535%","project",4,"0.0699621322975142%","placebo-controlled",3,"0.028599795511658845%","maintenance",3,"0.05523882645709294%","energy",6,"0.02240223196631191%","showed",2,"0.03568924063313965%","","","","neurologic",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","outcome",1,"0.026595744680851064%","","","","via",1,"0.20449897750511248%","various",1,"0.021593608291945583%","low",2,"0.08791495860461379%","learners",1,"0.010262725779967159%","management",2,"0.11508951406649616%","young",2,"0.024300434283841363%","think",1,"0.009366804046459348%","cohorts",3,"0.07475901031427205%","mci",1,"0.01289324394017535%","development",4,"0.04123931543768948%","approximately",3,"0.027857940514546438%","undergo",3,"0.03126525024002944%","pathways",6,"0.018512804689910522%","herbal",2,"0.03105590062111801%","","","","tests",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","point",1,"0.026595744680851064%","","","","cellular",1,"0.20449897750511248%","correlate",1,"0.021593608291945583%","ability",2,"0.08791495860461379%","making",1,"0.010262725779967159%","short",2,"0.11508951406649616%","studied",2,"0.01946118754143171%","enhancer",1,"0.026616981634282673%","burden",3,"0.07080481472740147%","conclusive",1,"0.01289324394017535%","novel",4,"0.10977147517296706%","treatments",3,"0.07952508960573478%","frequency",3,"0.04177768558271938%","retina",6,"0.01974979239611987%","14",2,"0.01823650935714622%","","","","appropriate",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","score",1,"0.026595744680851064%","","","","operator",1,"0.20449897750511248%","findings",1,"0.021593608291945583%","general",2,"0.018249840313897255%","mistakes",1,"0.010262725779967159%","homes",2,"0.049019607843137254%","norma",2,"0.01966568338249754%","neuromodulation",1,"0.026616981634282673%","controls",3,"0.07080481472740147%","enough",1,"0.01289324394017535%","s",4,"0.02789344654389615%","influence",3,"0.0323565898612367%","transcranial",3,"0.06298815822625346%","term",6,"0.02496251842184719%","placebo",2,"0.07234613212874083%","","","","recommended",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","adas-cog",1,"0.026595744680851064%","","","","center",1,"0.20449897750511248%","delay",1,"0.021593608291945583%","between",2,"0.018249840313897255%","steps",1,"0.010262725779967159%","randomization",2,"0.049019607843137254%","sci",2,"0.01966568338249754%","technique",1,"0.026616981634282673%","influence",3,"0.05504696226944028%","lead",1,"0.01289324394017535%","neuronal",4,"0.033262645743335595%","connectivity",3,"0.03471202180441311%","magnetic",3,"0.06298815822625346%","inflammation",6,"0.024324328829412885%","follow",2,"0.03425454207085863%","","","","enrolled",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","secondary",1,"0.026595744680851064%","","","","hebrew",1,"0.20449897750511248%","behavioral",1,"0.07513148009015778%","fcsrt",2,"0.018249840313897255%","interval",1,"0.010262725779967159%","month",2,"0.049019607843137254%","completed",2,"0.02763910949751658%","scalp",1,"0.026616981634282673%","allow",3,"0.0392891098114791%","initiate",1,"0.01289324394017535%","neuroaid",4,"0.103359173126615%","nucleus",3,"0.0289415892270223%","followed",3,"0.05389220161111735%","diet",6,"0.025388677212378936%","end",2,"0.02879054978005503%","","","","risperdal",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","points",1,"0.026595744680851064%","","","","jerusalem",1,"0.20449897750511248%","disturbances",1,"0.07513148009015778%","anesthesia",2,"0.018249840313897255%","completion",1,"0.010262725779967159%","knowledge",2,"0.047154731457800504%","18",2,"0.01966568338249754%","usually",1,"0.026616981634282673%","etc",3,"0.055864282724763924%","able",1,"0.01289324394017535%","having",4,"0.09147240126800014%","comparison",3,"0.04713989727106573%","day",3,"0.07219975822251866%","looking",6,"0.02303337912759912%","assessed",2,"0.03568924063313965%","","","","solution",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","cibic-plus",1,"0.026595744680851064%","","","","files",1,"0.20449897750511248%","50",1,"0.07513148009015778%","points",2,"0.018249840313897255%","task",1,"0.010262725779967159%","any",2,"0.18115942028985507%","proposed",2,"0.01946118754143171%","1-2",1,"0.026616981634282673%","increased",3,"0.023531257353517923%","give",1,"0.01289324394017535%","animal",4,"0.0768278700659927%","six",3,"0.014810880468096962%","completed",3,"0.05669625995608738%","positive",6,"0.010471216685560806%","iadl",2,"0.03425454207085863%","","","","medication",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","iadl",1,"0.026595744680851064%","","","","monitoring",1,"0.20449897750511248%","specifically",1,"0.07513148009015778%","predictive",2,"0.18535681186283598%","rehearsal",1,"0.010262725779967159%","adjunct",2,"0.04528985507246377%","effectiveness",2,"0.017769349627756708%","milliampere",1,"0.026616981634282673%","triglyceride-rich",3,"0.023531257353517923%","consent",1,"0.01289324394017535%","models",4,"0.047476401905202664%","global",3,"0.013550235017626321%","recommendations",3,"0.04852223935970654%","vestibular",6,"0.04748713889988128%","npi-q",2,"0.024104279641605317%","","","","begin",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","behav-ad",1,"0.026595744680851064%","","","","every",1,"0.20449897750511248%","serious",1,"0.07513148009015778%","value",2,"0.18535681186283598%","targeted",1,"0.010262725779967159%","comparing",2,"0.04528985507246377%","vivo",2,"0.05612913798754507%","increasing",1,"0.026616981634282673%","cardiovascular",3,"0.023531257353517923%","eligible",1,"0.01289324394017535%","mlc901",4,"0.103359173126615%","however",3,"0.022137910548343617%","regarding",3,"0.050780850313969665%","engage",6,"0.01144062677559168%","gds",2,"0.024104279641605317%","","","","5mg",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","mmse",1,"0.026595744680851064%","","","","year",1,"0.20449897750511248%","noncognitive",1,"0.07513148009015778%","centres",2,"0.18535681186283598%","information",1,"0.010262725779967159%","where",2,"0.04528985507246377%","decline",2,"0.037335591966276276%","cortical",1,"0.026616981634282673%","5-year",3,"0.023531257353517923%","consortium",1,"0.01289324394017535%","find",4,"0.038911688706490345%","although",3,"0.024159701624025885%","whether",3,"0.0409266029073274%","apps",6,"0.009246417013407305%","em",2,"0.026525198938992044%","","","","local",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","cdr",1,"0.026595744680851064%","","","","impact",1,"0.20449897750511248%","symptom",1,"0.07513148009015778%","adults",2,"0.18535681186283598%","regular",1,"0.010262725779967159%","old",2,"0.04528985507246377%","comparisons",2,"0.01966568338249754%","excitability",1,"0.026616981634282673%","aβ-40",3,"0.023531257353517923%","establish",1,"0.01289324394017535%","established",4,"0.09705432379850984%","findings",3,"0.025565945309198684%","confirm",3,"0.0409266029073274%","review",6,"0.021627929624206326%","1000-1",2,"0.026525198938992044%","","","","product",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","statistic",1,"0.026595744680851064%","","","","behavior",1,"0.20449897750511248%","experienced",1,"0.07513148009015778%","aged",2,"0.18535681186283598%","considered",1,"0.010262725779967159%","adults",2,"0.04528985507246377%","patterns",2,"0.016794690758360997%","regarded",1,"0.026616981634282673%","aβ-42",3,"0.023531257353517923%","registry",1,"0.01289324394017535%","whether",4,"0.04708730180334133%","suggest",3,"0.02932989948076155%","expensive",3,"0.023784033831647525%","answer",6,"0.009246417013407305%","wherein",2,"0.026525198938992044%","","","","information",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","intention-to-treat",1,"0.026595744680851064%","","","","giver",1,"0.20449897750511248%","recognized",1,"0.07513148009015778%","subjective",2,"0.18535681186283598%","condition",1,"0.010262725779967159%","alone",2,"0.04528985507246377%","then",2,"0.03907260777312011%","safe",1,"0.026616981634282673%","public",2,"0.005075369233111709%","cerad",1,"0.01289324394017535%","completed",4,"0.04552101009878138%","leads",3,"0.025967385810648815%","technique",3,"0.027920583673005126%","systematic",6,"0.02680132197969192%","participation",2,"0.021838928800542334%","","","","leaflet",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","would",1,"0.026595744680851064%","","","","studied",1,"0.20449897750511248%","alone",1,"0.07513148009015778%","complaint",2,"0.18535681186283598%","standardized",1,"0.010262725779967159%","find",1,"0.08250825082508251%","sets",2,"0.016794690758360997%","approach",1,"0.026616981634282673%","interactions",2,"0.005075369233111709%","working",1,"0.01289324394017535%","assessments",4,"0.04268284342300704%","response",3,"0.019782577853443995%","utterances",3,"0.03112356053532524%","vr",6,"0.026252461168234525%","2-month",2,"0.026525198938992044%","","","","investigators",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","test",1,"0.08116883116883117%","","","","interviews",1,"0.20449897750511248%","cholinesterase",1,"0.07513148009015778%","compare",2,"0.09212344541685859%","1-week",1,"0.010262725779967159%","optimal",1,"0.08250825082508251%","able",2,"0.0344149459193707%","swill",1,"0.026616981634282673%","various",2,"0.005075369233111709%","delayed",1,"0.01289324394017535%","those",4,"0.0506942918069325%","examination",3,"0.011601717997066835%","how",3,"0.028066972653502918%","pa",6,"0.04201680672268908%","markers",2,"0.033423889792076666%","","","","titrate",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","levels",1,"0.08116883116883117%","","","","dementing",1,"0.015812776723592662%","inhibitors",1,"0.07513148009015778%","measured",2,"0.09212344541685859%","developed",1,"0.010262725779967159%","explore",1,"0.08250825082508251%","half",2,"0.035439258211535436%","pre",1,"0.026616981634282673%","made",2,"0.009640461802435534%","recognition",1,"0.01289324394017535%","therapy",4,"0.07479760059386278%","assessment",3,"0.019956627715248407%","tomography",3,"0.024197175510531042%","online",6,"0.03265306122448979%","final",2,"0.026525198938992044%","","","","patients'",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","proteins",1,"0.08116883116883117%","","","","syndromes",1,"0.015812776723592662%","vascular",1,"0.07513148009015778%","separated",2,"0.09212344541685859%","train",1,"0.010262725779967159%","best",1,"0.08250825082508251%","psycho-social",2,"0.01489835700362016%","sixth",1,"0.026616981634282673%","evaluated",2,"0.05793934666641735%","clock",1,"0.01289324394017535%","plus",4,"0.09523809523809525%","improved",3,"0.012848374690479954%","projected",3,"0.02766036802292814%","like",5,"0.04307404117634833%","2-3",2,"0.026525198938992044%","","","","situation",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","cerebrospinal",1,"0.08116883116883117%","","","","incurable",1,"0.015812776723592662%","family",1,"0.07513148009015778%","into",2,"0.09212344541685859%","therapists",1,"0.010262725779967159%","288",1,"0.08250825082508251%","service",2,"0.015873015873015872%","post",1,"0.026616981634282673%","means",2,"0.005075369233111709%","drawing",1,"0.01289324394017535%","minutes",4,"0.04809219806786547%","through",3,"0.029248477324759804%","examination",3,"0.03311762415403872%","following",5,"0.03178595549217836%","open-label",2,"0.026525198938992044%","","","","2ml",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","fluid",1,"0.08116883116883117%","","","","become",1,"0.015812776723592662%","members",1,"0.07513148009015778%","e",2,"0.09212344541685859%","orally",1,"0.030921459492888066%","were",1,"0.08250825082508251%","hoc",2,"0.015873015873015872%","controlled",1,"0.026616981634282673%","based",2,"0.026352878710387717%","cdt",1,"0.01289324394017535%","major",4,"0.05183979887088471%","networks",3,"0.020729289071680375%","decades",3,"0.024197175510531042%","assigned",5,"0.038047359516607517%","month",2,"0.03813822136004329%","","","","standardized",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","urine",1,"0.08116883116883117%","","","","highly",1,"0.015812776723592662%","play",1,"0.07513148009015778%","pre-dementia",2,"0.09212344541685859%","administered",1,"0.030921459492888066%","randomly",1,"0.08250825082508251%","whereas",2,"0.015873015873015872%","rct",1,"0.026616981634282673%","objectives",2,"0.023506441169292278%","addenbrooke",1,"0.01289324394017535%","acupuncture",4,"0.10178117048346057%","disorder",3,"0.016837401918047078%","influence",3,"0.02777216106907448%","reduced",5,"0.038646919631219474%","interval",2,"0.021838928800542334%","","","","npi",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","influence",1,"0.08116883116883117%","","","","frequently",1,"0.015812776723592662%","home",1,"0.07513148009015778%","angers",2,"0.09212344541685859%","synthetic",1,"0.030921459492888066%","assigned",1,"0.08250825082508251%","remaining",2,"0.015873015873015872%","stimulate",1,"0.026616981634282673%","efficacy",2,"0.03584881053261182%","irrespective",1,"0.01289324394017535%","however",4,"0.055928189193901336%","few",3,"0.028016312083458922%","clear",3,"0.03190871091043208%","level",5,"0.027444396834392162%","food",2,"0.07008078128767785%","","","","covers",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","certain",1,"0.08116883116883117%","","","","move",1,"0.015812776723592662%","care",1,"0.07513148009015778%","adrd",2,"0.09212344541685859%","presently",1,"0.030921459492888066%","4mg",1,"0.08250825082508251%","umbrian",2,"0.015873015873015872%","temporal",1,"0.026616981634282673%","dimension",2,"0.005075369233111709%","cheapest",1,"0.01289324394017535%","state",4,"0.08031745607852289%","reports",3,"0.021087096683848786%","analysed",3,"0.03321030774004846%","derived",5,"0.04167458328598792%","involve",2,"0.015971158516083238%","","","","domains",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","tested",1,"0.08116883116883117%","","","","homes",1,"0.015812776723592662%","demented",1,"0.07513148009015778%","usually",1,"0.04027386226339106%","approved",1,"0.030921459492888066%","2mg",1,"0.08250825082508251%","inclusion",2,"0.025742775742775743%","lobe",1,"0.026616981634282673%","environment",2,"0.005075369233111709%","inhibitor",1,"0.01289324394017535%","fmri",4,"0.06519673688693772%","complications",3,"0.01837385712850397%","better",3,"0.02777216106907448%","promote",5,"0.027020150221027217%","expected",2,"0.03619837928600979%","","","","neuro-vegetative",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","possible",1,"0.08116883116883117%","","","","residential",1,"0.015812776723592662%","elderly",1,"0.07513148009015778%","identified",1,"0.04027386226339106%","apl",1,"0.030921459492888066%","1mg",1,"0.08250825082508251%","informed",2,"0.025742775742775743%","hopefully",1,"0.026616981634282673%","workshop",2,"0.005075369233111709%","iceland",1,"0.01289324394017535%","present",4,"0.05948388596188955%","reducing",3,"0.034166555718279853%","oral",3,"0.03710575139146568%","formation",5,"0.023256809194385074%","expect",2,"0.026525198938992044%","","","","casi",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","role",1,"0.08116883116883117%","","","","different",1,"0.015812776723592662%","conduct",1,"0.07513148009015778%","factor",1,"0.04027386226339106%","higher",1,"0.030921459492888066%","placebo",1,"0.08250825082508251%","consent",2,"0.025742775742775743%","minutes",1,"0.026616981634282673%","layout",2,"0.005075369233111709%","dosis",1,"0.01289324394017535%","old",4,"0.11313094612689753%","impaired",3,"0.023197578487658396%","transdermal",3,"0.03710575139146568%","double-blind",5,"0.16139841932960478%","significant",2,"0.07499099453122442%","","","","test",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","detected",1,"0.08116883116883117%","","","","types",1,"0.015812776723592662%","addition",1,"0.07513148009015778%","unknown",1,"0.04027386226339106%","selectivity",1,"0.030921459492888066%","screening",1,"0.08250825082508251%","do",2,"0.06084656084656084%","times",1,"0.026616981634282673%","quantitative",2,"0.005075369233111709%","usual",1,"0.01289324394017535%","attentional",4,"0.014245014245014244%","gait",3,"0.033157164538333%","had",3,"0.03912358681456653%","polypeptide",5,"0.03299241174529858%","various",2,"0.028055498877780048%","","","","sf-36",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","enrollment",1,"0.08116883116883117%","","","","modest",1,"0.015812776723592662%","aims",1,"0.07513148009015778%","about",1,"0.04027386226339106%","retinoic",1,"0.030921459492888066%","period",1,"0.08250825082508251%","result",2,"0.02240410052910053%","executed",1,"0.026616981634282673%","stemming",2,"0.005075369233111709%","four",1,"0.01289324394017535%","exploration",4,"0.014245014245014244%","methods",3,"0.017615280428492273%","5",3,"0.052422660396082316%","solution",5,"0.030716384550766637%","mechanism",2,"0.03619837928600979%","","","","adverse",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","physical",1,"0.08116883116883117%","","","","success",1,"0.015812776723592662%","explore",1,"0.07513148009015778%","000",1,"0.04027386226339106%","acid",1,"0.030921459492888066%","double-blind",1,"0.08250825082508251%","exclusion",2,"0.025742775742775743%","days",1,"0.026616981634282673%","trognon",2,"0.005075369233111709%","10mg",1,"0.01289324394017535%","wm",4,"0.014245014245014244%","investigator",3,"0.01948662580105879%","8",3,"0.02481445624801562%","aged",5,"0.08604669192710049%","action",2,"0.03619837928600979%","","","","events",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","neurological",1,"0.08116883116883117%","","","","increasingly",1,"0.015812776723592662%","caregiver",1,"0.07513148009015778%","france",1,"0.04027386226339106%","subtypes",1,"0.030921459492888066%","gain",1,"0.052083333333333336%","participate",2,"0.015873015873015872%","tested",1,"0.026616981634282673%","batt",2,"0.005075369233111709%","rivastigmine",1,"0.01289324394017535%","consistency",4,"0.014245014245014244%","according",3,"0.06554681339164098%","150mg",3,"0.06053268765133172%","plaques",5,"0.04341279473383113%","both",2,"0.021838928800542334%","","","","recorded",1,"0.14534883720930233%"
"","","","","","","","","","","","","","","","","","","testing",1,"0.08116883116883117%","","","","turning",1,"0.015812776723592662%","chinese",1,"0.07513148009015778%","evidence",1,"0.04027386226339106%","natural",1,"0.030921459492888066%","stability",1,"0.052083333333333336%","total",2,"0.05423280423280424%","last",1,"0.026616981634282673%","2007",2,"0.005075369233111709%","patch",1,"0.01289324394017535%","measures",4,"0.008769586894586895%","into",3,"0.025415759078272333%","once-a-day",3,"0.06053268765133172%","pet",5,"0.05616896427665028%","allogenic",2,"0.05434782608695652%","","","","medications",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","minor",1,"0.08116883116883117%","","","","supplementary",1,"0.015812776723592662%","culture",1,"0.07513148009015778%","differs",1,"0.04027386226339106%","decreased",1,"0.030921459492888066%","enrich",1,"0.052083333333333336%","providers",2,"0.015873015873015872%","assess",1,"0.026616981634282673%","interactive",2,"0.005075369233111709%","medication",1,"0.01289324394017535%","accuracy",4,"0.012759310704516184%","database",3,"0.010135135135135136%","ages",3,"0.034520649182687164%","scan",5,"0.045731748911960926%","adipose",2,"0.05434782608695652%","","","","used",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","draw",1,"0.08116883116883117%","","","","alternative",1,"0.015812776723592662%","safe",1,"0.09881422924901186%","suggest",1,"0.04027386226339106%","insoluble",1,"0.030921459492888066%","capabilities",1,"0.052083333333333336%","located",2,"0.03717627401837928%","retested",1,"0.026616981634282673%","behaviors",2,"0.005075369233111709%","indication",1,"0.01289324394017535%","times",4,"0.021630010315355146%","recruited",3,"0.019956627715248407%","years",3,"0.04684171964938361%","human",5,"0.06148406939119529%","mesenchymal",2,"0.05434782608695652%","","","","treat",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","approximately",1,"0.08116883116883117%","","","","approaches",1,"0.015812776723592662%","done",1,"0.09881422924901186%","involvement",1,"0.04027386226339106%","amyloid-beta",1,"0.030921459492888066%","synchronous",1,"0.052083333333333336%","city",2,"0.015873015873015872%","later",1,"0.026616981634282673%","well-being",2,"0.005075369233111709%","starting",1,"0.01289324394017535%","action",4,"0.014245014245014244%","statistically",3,"0.014810880468096962%","confirmed",3,"0.044610223109836054%","defined",5,"0.021614504656722877%","stem",2,"0.05434782608695652%","","","","choice",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","later",1,"0.08116883116883117%","","","","management",1,"0.015812776723592662%","effective",1,"0.09881422924901186%","neocortical",1,"0.04027386226339106%","42",1,"0.030921459492888066%","sponsor",1,"0.052083333333333336%","twelve",2,"0.015873015873015872%","long-term",1,"0.026616981634282673%","nature",2,"0.005075369233111709%","dose",1,"0.01289324394017535%","ability",4,"0.022712889699414814%","18",3,"0.015341790643745403%","further",3,"0.0367599848426619%","objectives",5,"0.02511330524774329%","mscs-exos",2,"0.05434782608695652%","","","","however",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","issued",1,"0.08116883116883117%","","","","describing",1,"0.015812776723592662%","what",1,"0.09881422924901186%","mediotemporal",1,"0.04027386226339106%","deposition",1,"0.030921459492888066%","previously",1,"0.052083333333333336%","counselors",2,"0.015873015873015872%","ot",1,"0.026616981634282673%","spatio-temporal",2,"0.005075369233111709%","6mg",1,"0.01289324394017535%","when",4,"0.022707794673542996%","distributed",3,"0.013550235017626321%","3-month",3,"0.044610223109836054%","order",5,"0.0456957330821362%","accumulation",2,"0.047335203366058905%","","","","sensitivity",1,"0.021204410517387615%"
"","","","","","","","","","","","","","","","","","","either",1,"0.08116883116883117%","","","","successful",1,"0.015812776723592662%","happens",1,"0.09881422924901186%","late",1,"0.04027386226339106%","app",1,"0.030921459492888066%","enrolled",1,"0.052083333333333336%","times",2,"0.02240410052910053%","main",1,"0.026616981634282673%","orientation",2,"0.005075369233111709%","9",1,"0.01289324394017535%","less",4,"0.014245014245014244%","expressed",3,"0.010135135135135136%","relationships",3,"0.04074734553923337%","therapeutic",5,"0.027874494849924606%","abnormal",2,"0.050109692859992026%","","","","often",1,"0.021204410517387615%"
