"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"","","","","","","","","","13",1,"0.10245901639344263%","correlates",1,"0.08561643835616438%","neuropsychological",1,"0.05995203836930456%","encephalopathy",1,"0.08865248226950355%","enroll",3,"0.06194277420692515%","face-to-face",4,"0.015430908108942211%","assess",3,"0.0654334461891761%"
"","","","","","","","","","16",1,"0.10245901639344263%","investigators'",1,"0.08561643835616438%","biomarkers",1,"0.05995203836930456%","lobar",1,"0.08865248226950355%","highly",3,"0.059961014088616676%","comparison",4,"0.015430908108942211%","individualized",3,"0.04926108374384237%"
"","","","","","","","","","0",1,"0.10245901639344263%","knowledge",1,"0.08561643835616438%","blood",1,"0.05995203836930456%","microtubular",1,"0.08865248226950355%","significant",3,"0.06461991927108207%","same",4,"0.015430908108942211%","30",3,"0.07559195888108355%"
"","","","","","","","","","cost",1,"0.10245901639344263%","never",1,"0.08561643835616438%","neuroimaging",1,"0.05995203836930456%","its",1,"0.08865248226950355%","higher",3,"0.059961014088616676%","participant",4,"0.015430908108942211%","total",3,"0.044816770400086525%"
"","","","","","","","","","care",1,"0.10245901639344263%","explored",1,"0.08561643835616438%","annually",1,"0.05995203836930456%","native",1,"0.08865248226950355%","0",3,"0.0567197660220916%","needs",4,"0.015430908108942211%","16",3,"0.04926108374384237%"
"","","","","","","","","","rise",1,"0.10245901639344263%","ligands",1,"0.08561643835616438%","filed",1,"0.05995203836930456%","function",1,"0.08865248226950355%","modify",3,"0.07326007326007326%","core",4,"0.015430908108942211%","participants'",3,"0.04926108374384237%"
"","","","","","","","","","172",1,"0.10245901639344263%","become",1,"0.08561643835616438%","registry",1,"0.05995203836930456%","provide",1,"0.08865248226950355%","process",3,"0.07289007289007289%","delivery",4,"0.015430908108942211%","including",3,"0.07094960064150077%"
"","","","","","","","","","billion",1,"0.10245901639344263%","available",1,"0.08561643835616438%","cntn",1,"0.05995203836930456%","neurons",1,"0.08865248226950355%","ad-related",3,"0.07326007326007326%","problem",4,"0.015430908108942211%","live",3,"0.04926108374384237%"
"","","","","","","","","","2010",1,"0.10245901639344263%","yet",1,"0.08561643835616438%","include",1,"0.05995203836930456%","paired",1,"0.08865248226950355%","advance",3,"0.07215007215007214%","where",4,"0.015430908108942211%","neuropsychiatric",3,"0.15247478301665493%"
"","","","","","","","","","trillion",1,"0.10245901639344263%","determined",1,"0.08561643835616438%","healthy",1,"0.05995203836930456%","helical",1,"0.08865248226950355%","specialist",3,"0.07215007215007214%","been",4,"0.015430908108942211%","body",3,"0.07559195888108355%"
"","","","","","","","","","dollars",1,"0.10245901639344263%","investigators",1,"0.08561643835616438%","controls",1,"0.05995203836930456%","filaments",1,"0.08865248226950355%","improve",3,"0.06120277346692441%","summarization",4,"0.015430908108942211%","balance",3,"0.07559195888108355%"
"","","","","","","","","","although",1,"0.10245901639344263%","relate",1,"0.08561643835616438%","mild",1,"0.05995203836930456%","composed",1,"0.08865248226950355%","procedures",3,"0.12217412217412216%","'problematic'",4,"0.015430908108942211%","such",3,"0.06685432793807178%"
"","","","","","","","","","exact",1,"0.10245901639344263%","perform",1,"0.08561643835616438%","positive",1,"0.05995203836930456%","dysfunctional",1,"0.08865248226950355%","impact",3,"0.08718567485109102%","objective",3,"0.12558560446615383%","meaningful",3,"0.04926108374384237%"
"","","","","","","","","","etiopathology",1,"0.10245901639344263%","subset",1,"0.08561643835616438%","florbetapir",1,"0.05995203836930456%","found",1,"0.08865248226950355%","important",3,"0.0604954198183943%","ath-1017",3,"0.2284843869002285%","reminiscence",3,"0.04926108374384237%"
"","","","","","","","","","there",1,"0.10245901639344263%","related",1,"0.08561643835616438%","demonstrates",1,"0.05995203836930456%","progression",1,"0.08865248226950355%","increase",3,"0.05025547478377667%","completed",3,"0.15618065162738787%","been",3,"0.06685432793807178%"
"","","","","","","","","","lines",1,"0.10245901639344263%","first",1,"0.08561643835616438%","changes",1,"0.05995203836930456%","been",1,"0.08865248226950355%","patient",3,"0.06120277346692441%","studies",3,"0.126080912035741%","access",3,"0.04037245705633069%"
"","","","","","","","","","evidence",1,"0.10245901639344263%","time",1,"0.08561643835616438%","likely",1,"0.05995203836930456%","correlate",1,"0.08865248226950355%","members",3,"0.06283226178514137%","year",3,"0.1452082375672074%","daily",3,"0.07094960064150077%"
"","","","","","","","","","suggest",1,"0.10245901639344263%","both",1,"0.08561643835616438%","causing",1,"0.05995203836930456%","topographical",1,"0.08865248226950355%","outcome",3,"0.12217412217412216%","total",3,"0.1282992851071903%","engage",3,"0.04926108374384237%"
"","","","","","","","","","metabolic",1,"0.10245901639344263%","alzheimers",1,"0.08561643835616438%","focus",1,"0.05995203836930456%","spread",1,"0.08865248226950355%","pragmatic",3,"0.06120277346692441%","imaging",3,"0.1381851681252879%","relationship",3,"0.15247478301665493%"
"","","","","","","","","","features",1,"0.10245901639344263%","occur",1,"0.08561643835616438%","associated",1,"0.05995203836930456%","throughout",1,"0.08865248226950355%","pilot",3,"0.07144271850154203%","potential",3,"0.09673274112138319%","previous",3,"0.044816770400086525%"
"","","","","","","","","","important",1,"0.10245901639344263%","context",1,"0.08561643835616438%","undergo",1,"0.05995203836930456%","therefore",1,"0.08865248226950355%","evaluate",3,"0.07073536485301192%","previous",3,"0.151435800685247%","partners",3,"0.12700076362166288%"
"","","","","","","","","","has",1,"0.10245901639344263%","vascular",1,"0.08561643835616438%","twice",1,"0.05995203836930456%","quantifying",1,"0.08865248226950355%","over",3,"0.08089728135040868%","methods",3,"0.10801664312823811%","greater",3,"0.07094960064150077%"
"","","","","","","","","","been",1,"0.10245901639344263%","system",1,"0.08561643835616438%","once",1,"0.05995203836930456%","aggregate",1,"0.08865248226950355%","satisfaction",3,"0.06283226178514137%","help",3,"0.09490370524623616%","related",3,"0.15068308554739948%"
"","","","","","","","","","many",1,"0.10245901639344263%","over",1,"0.08561643835616438%","baseline",1,"0.05995203836930456%","load",1,"0.08865248226950355%","pressure",3,"0.04844961240310078%","knowledge",3,"0.151435800685247%","pilot",3,"0.14214349950021465%"
"","","","","","","","","","bbb",1,"0.10245901639344263%","past",1,"0.08561643835616438%","one",1,"0.05995203836930456%","would",1,"0.08865248226950355%","biomarkers",3,"0.04844961240310078%","results",3,"0.19556714471968709%","rethink-alz",3,"0.11111111111111112%"
"","","","","","","","","","allow",1,"0.10245901639344263%","15",1,"0.08561643835616438%","after",1,"0.05995203836930456%","diagnostic",1,"0.08865248226950355%","samples",3,"0.04844961240310078%","five-year",3,"0.19556714471968709%","refocus-alz",3,"0.11111111111111112%"
"","","","","","","","","","harmful",1,"0.10245901639344263%","years",1,"0.08561643835616438%","initial",1,"0.05995203836930456%","prognostic",1,"0.08865248226950355%","determine",3,"0.04844961240310078%","problems",3,"0.1606627724337587%","new",3,"0.12214342001576044%"
"","","","","","","","","","particles",1,"0.10245901639344263%","recognized",1,"0.08561643835616438%","analysis",1,"0.05995203836930456%","potential",1,"0.08865248226950355%","conventional",3,"0.04844961240310078%","longitudinal",3,"0.17056312621671338%","examine",3,"0.13605442176870747%"
"","","","","","","","","","cross",1,"0.10245901639344263%","supplying",1,"0.08561643835616438%","similar",1,"0.05995203836930456%","management",1,"0.08865248226950355%","index",3,"0.04844961240310078%","cohort",3,"0.09697544366265475%","its",3,"0.11058040237371544%"
"","","","","","","","","","into",1,"0.10245901639344263%","kidneys",1,"0.08561643835616438%","done",1,"0.05995203836930456%","neurological",1,"0.08865248226950355%","randomization",3,"0.04844961240310078%","arm",3,"0.15223124333293825%","following",3,"0.08000325878854535%"
"","","","","","","","","","bbbs",1,"0.10245901639344263%","stiffens",1,"0.08561643835616438%","previously",1,"0.05995203836930456%","modifying",1,"0.08865248226950355%","recommendations",3,"0.04844961240310078%","b",3,"0.09214679836715435%","follow-up",3,"0.08000325878854535%"
"","","","","","","","","","without",1,"0.10245901639344263%","propagation",1,"0.08561643835616438%","earlier",1,"0.05995203836930456%","drugs",1,"0.08865248226950355%","b",3,"0.10332667024198397%","consent",3,"0.08493997297851077%","stimulation",3,"0.10204081632653061%"
"","","","","","","","","","regulating",1,"0.10245901639344263%","systolic",1,"0.08561643835616438%","generation",1,"0.05995203836930456%","target",1,"0.08865248226950355%","other",3,"0.05169086046962584%","associated",3,"0.23455523455523458%","investigate",3,"0.09318520307531297%"
"","","","","","","","","","transfer",1,"0.10245901639344263%","flow",1,"0.08561643835616438%","edison",1,"0.05995203836930456%","being",1,"0.08865248226950355%","arm",3,"0.04540246696894349%","open",3,"0.1945760995637899%","whether",3,"0.07557545216293653%"
"","","","","","","","","","molecules",1,"0.10245901639344263%","lumen",1,"0.08561643835616438%","2008",1,"0.05995203836930456%","developed",1,"0.08865248226950355%","carried",3,"0.04844961240310078%","final",3,"0.18254062887964595%","20",3,"0.09318520307531297%"
"","","","","","","","","","vice",1,"0.10245901639344263%","accomplished",1,"0.08561643835616438%","tracer",1,"0.05995203836930456%","critical",1,"0.08865248226950355%","out",3,"0.04844961240310078%","people",3,"0.12659854765117923%","min",3,"0.09318520307531297%"
"","","","","","","","","","versa",1,"0.10245901639344263%","measurement",1,"0.08561643835616438%","fan",1,"0.05995203836930456%","need",1,"0.08865248226950355%","american",3,"0.04235532153478621%","americans",3,"0.1175395063340734%","adl",3,"0.12765957446808512%"
"","","","","","","","","","become",1,"0.10245901639344263%","hypertensive",1,"0.08561643835616438%","2016",1,"0.05995203836930456%","reliable",1,"0.08865248226950355%","signs",3,"0.13396847680861595%","compare",3,"0.04160407159176194%","staff",3,"0.09708243088291502%"
"","","","","","","","","","leaky",1,"0.10245901639344263%","archway",1,"0.08561643835616438%","complete",1,"0.05995203836930456%","method",1,"0.08865248226950355%","age",3,"0.08323707313603584%","through",3,"0.03564412244999461%","range",3,"0.06650528729774494%"
"","","","","","","","","","dysfunctional",1,"0.10245901639344263%","left",1,"0.08561643835616438%","ecgs",1,"0.05995203836930456%","aggregates",1,"0.08865248226950355%","conditions",3,"0.05259526656940383%","mci",3,"0.054886418522782164%","increasing",3,"0.1017247891224978%"
"","","","","","","","","","particular",1,"0.10245901639344263%","ventricular",1,"0.08561643835616438%","vitals",1,"0.05995203836930456%","confirm",1,"0.08865248226950355%","questionnaires",3,"0.06283521160402145%","meet",3,"0.023608651765850638%","pwd",3,"0.20408163265306123%"
"","","","","","","","","","capillaries",1,"0.10245901639344263%","mass",1,"0.08561643835616438%","taken",1,"0.05995203836930456%","patients",1,"0.08865248226950355%","activity",3,"0.05169086046962584%","previously",3,"0.023608651765850638%","goals",3,"0.09197930669273698%"
"","","","","","","","","","dysfunction",1,"0.10245901639344263%","lacunar",1,"0.08561643835616438%","immediately",1,"0.05995203836930456%","entering",1,"0.08865248226950355%","analysis",3,"0.04844961240310078%","shown",3,"0.05935739073568986%","40",3,"0.0711476455373277%"
"","","","","","","","","","lead",1,"0.10245901639344263%","infarcts",1,"0.08561643835616438%","following",1,"0.05995203836930456%","trials",1,"0.08865248226950355%","standard",3,"0.05493210853615091%","resulting",3,"0.023608651765850638%","90",3,"0.03592814371257485%"
"","","","","","","","","","subsequent",1,"0.10245901639344263%","age",1,"0.08561643835616438%","injections",1,"0.05995203836930456%","cross-sectional",1,"0.07974481658692185%","their",3,"0.05888366007008619%","eyes",3,"0.047679593134138595%","higher",3,"0.03592814371257485%"
"","","","","","","","","","problems",1,"0.10245901639344263%","sex",1,"0.08561643835616438%","briefly",1,"0.05995203836930456%","pilot",1,"0.07974481658692185%","multiple",3,"0.04844961240310078%","medical",3,"0.06803102051849368%","services",3,"0.03592814371257485%"
"","","","","","","","","","likely",1,"0.10245901639344263%","duration",1,"0.08561643835616438%","injected",1,"0.05995203836930456%","program",1,"0.07974481658692185%","linear",3,"0.10637381567614125%","below",3,"0.04285094783863818%","potential",3,"0.0711476455373277%"
"","","","","","","","","","contributing",1,"0.10245901639344263%","hypertension",1,"0.08561643835616438%","there",1,"0.05995203836930456%","outcomes",1,"0.07974481658692185%","regression",3,"0.10637381567614125%","state",3,"0.047679593134138595%","surrogate",3,"0.03592814371257485%"
"","","","","","","","","","dementia",1,"0.10245901639344263%","multi-ethnic",1,"0.08561643835616438%","90",1,"0.05995203836930456%","new",1,"0.07974481658692185%","outreach",3,"0.03930817610062893%","record",3,"0.053639542275905915%","decision",3,"0.03592814371257485%"
"","","","","","","","","","protocol",1,"0.10245901639344263%","dallas",1,"0.08561643835616438%","minute",1,"0.05995203836930456%","york",1,"0.07974481658692185%","measure",3,"0.10027952480782669%","recording",3,"0.023608651765850638%","via",3,"0.03592814371257485%"
"","","","","","","","","","explore",1,"0.10245901639344263%","heart",1,"0.08561643835616438%","uptake",1,"0.05995203836930456%","city",1,"0.07974481658692185%","behavioral",3,"0.03930817610062893%","via",3,"0.05003560069258238%","swc-eold",3,"0.03592814371257485%"
"","","","","","","","","","promising",1,"0.10245901639344263%","arch",1,"0.08561643835616438%","commence",1,"0.05995203836930456%","einstein",1,"0.07974481658692185%","more",3,"0.03930817610062893%","systems",3,"0.07646254961931412%","sw-eold",3,"0.03592814371257485%"
"","","","","","","","","","putative",1,"0.10245901639344263%","predictor",1,"0.08561643835616438%","minutes",1,"0.05995203836930456%","comparing",1,"0.07974481658692185%","million",3,"0.03930817610062893%","aims",3,"0.07562325744143926%","14-21",3,"0.03592814371257485%"
"","","","","","","","","","factors",1,"0.10245901639344263%","hyper-intensities",1,"0.08561643835616438%","collected",1,"0.05995203836930456%","originally",1,"0.07974481658692185%","aging",3,"0.06994998266726093%","techniques",3,"0.023608651765850638%","later",3,"0.03592814371257485%"
"","","","","","","","","","cause",1,"0.10245901639344263%","diabetes",1,"0.08561643835616438%","list",1,"0.05995203836930456%","placebo",1,"0.07974481658692185%","persons",3,"0.05188496310199363%","those",3,"0.062093243911425726%","medical",3,"0.03592814371257485%"
"","","","","","","","","","abnormally",1,"0.08928571428571429%","increasing",1,"0.08561643835616438%","mode",1,"0.05995203836930456%","procedures",1,"0.07974481658692185%","phone",3,"0.03930817610062893%","independent",3,"0.04285094783863818%","family",3,"0.03592814371257485%"
"","","","","","","","","","increased",1,"0.08928571428571429%","contributes",1,"0.08561643835616438%","rebinned",1,"0.05995203836930456%","university",1,"0.07974481658692185%","propose",3,"0.03930817610062893%","agitated",3,"0.10989010989010989%","encounter",3,"0.03592814371257485%"
"","","","","","","","","","common",1,"0.08928571428571429%","dysfunction",1,"0.08561643835616438%","frames",1,"0.05995203836930456%","irving",1,"0.07974481658692185%","kaiser",3,"0.03930817610062893%","behaviors",3,"0.10989010989010989%","usual",3,"0.03592814371257485%"
"","","","","","","","","","finding",1,"0.08928571428571429%","deep",1,"0.08561643835616438%","post",1,"0.05995203836930456%","medical",1,"0.07974481658692185%","permanente",3,"0.03930817610062893%","cluster",3,"0.09719938853797122%","primary",3,"0.0711476455373277%"
"","","","","","","","","","precursor",1,"0.08928571428571429%","atrophy",1,"0.08561643835616438%","total",1,"0.05995203836930456%","scans",1,"0.07974481658692185%","lower",3,"0.03930817610062893%","trials",3,"0.08283008283008282%","5",3,"0.03592814371257485%"
"","","","","","","","","","proteins",1,"0.08928571428571429%","described",1,"0.08561643835616438%","duration",1,"0.05995203836930456%","may",1,"0.07974481658692185%","feasibility",3,"0.03930817610062893%","strategies",3,"0.044345490684507737%","procedure",3,"0.03592814371257485%"
"","","","","","","","","","were",1,"0.08928571428571429%","impacts",1,"0.08561643835616438%","around",1,"0.05995203836930456%","two",1,"0.07974481658692185%","acceptability",3,"0.03930817610062893%","increase",3,"0.08033633033633034%","pwad",3,"0.03592814371257485%"
"","","","","","","","","","linked",1,"0.08928571428571429%","pulsatility",1,"0.08561643835616438%","hours",1,"0.05995203836930456%","or",1,"0.07974481658692185%","learning",3,"0.10059178923389295%","first",3,"0.044345490684507737%","item",3,"0.03592814371257485%"
"","","","","","","","","","disrupted",1,"0.08928571428571429%","appears",1,"0.08561643835616438%","receive",1,"0.05995203836930456%","three",1,"0.07974481658692185%","web-based",3,"0.03930817610062893%","under",3,"0.07711780028730882%","0",3,"0.03592814371257485%"
"","","","","","","","","","homeostasis",1,"0.08928571428571429%","diminish",1,"0.08561643835616438%","50",1,"0.05995203836930456%","separate",1,"0.07974481658692185%","attention",3,"0.06994998266726093%","adherence",3,"0.044345490684507737%","trained",3,"0.0711476455373277%"
"","","","","","","","","","validation",1,"0.08928571428571429%","anisotrophy",1,"0.08561643835616438%","compensation",1,"0.05995203836930456%","visits",1,"0.07974481658692185%","aim",3,"0.03930817610062893%","main",3,"0.12847410107684082%","community-dwelling",3,"0.08875739644970414%"
"","","","","","","","","","showed",1,"0.08928571428571429%","cns",1,"0.08561643835616438%","project",1,"0.06510416666666667%","believed",1,"0.07974481658692185%","spent",3,"0.04954812113524655%","perform",3,"0.10923180500405326%","light-to-moderate",3,"0.08875739644970414%"
"","","","","","","","","","measured",1,"0.08928571428571429%","observation",1,"0.08561643835616438%","solutions",1,"0.06510416666666667%","increase",1,"0.07974481658692185%","able",3,"0.05188496310199363%","biomarkers",3,"0.12847410107684082%","intensity",3,"0.08875739644970414%"
"","","","","","","","","","precisely",1,"0.08928571428571429%","contribute",1,"0.08561643835616438%","help",1,"0.06510416666666667%","mechanisms",1,"0.07974481658692185%","develop",3,"0.05188496310199363%","large",3,"0.12722722482996457%","limitations",3,"0.08875739644970414%"
"","","","","","","","","","novel",1,"0.08928571428571429%","retained",1,"0.08561643835616438%","get",1,"0.06510416666666667%","hypothesis",1,"0.07974481658692185%","direct",3,"0.13123359580052493%","population",3,"0.12722722482996457%","mobility",3,"0.08875739644970414%"
"","","","","","","","","","technique",1,"0.08928571428571429%","amyloid",1,"0.08561643835616438%","they",1,"0.06510416666666667%","prompted",1,"0.07974481658692185%","application",3,"0.11083173426851056%","decision",3,"0.0488108969804055%","health-related",3,"0.08875739644970414%"
"","","","","","","","","","vivo",1,"0.08928571428571429%","type",1,"0.08561643835616438%","need",1,"0.06510416666666667%","testing",1,"0.07974481658692185%","information",3,"0.0700280112044818%","order",3,"0.047564020733529264%","adherence",3,"0.08875739644970414%"
"","","","","","","","","","thus",1,"0.08928571428571429%","purpose",1,"0.1937984496124031%","latinos",1,"0.06510416666666667%","treatment",1,"0.07974481658692185%","scc",3,"0.0700280112044818%","contain",3,"0.02956860090761796%","focuses",2,"0.055179454115624325%"
"","","","","","","","","","enabling",1,"0.08928571428571429%","present",1,"0.1937984496124031%","comprise",1,"0.06510416666666667%","usually",1,"0.07974481658692185%","homework",3,"0.0700280112044818%","over",3,"0.06805319305319306%","association",2,"0.025252525252525256%"
"","","","","","","","","","reliable",1,"0.08928571428571429%","designed",1,"0.1937984496124031%","than",1,"0.06510416666666667%","entail",1,"0.07974481658692185%","content",3,"0.06212490813661125%","primary",3,"0.07970881812004495%","was",2,"0.024602310530454245%"
"","","","","","","","","","precise",1,"0.08928571428571429%","outcome",1,"0.1937984496124031%","mid-century",1,"0.06510416666666667%","sensitivity",1,"0.07974481658692185%","leaders",3,"0.058173356602675974%","group",3,"0.0712772890192245%","perform",2,"0.025252525252525256%"
"","","","","","","","","","investigations",1,"0.08928571428571429%","utilize",1,"0.1937984496124031%","account",1,"0.06510416666666667%","lower",1,"0.07974481658692185%","extent",3,"0.058173356602675974%","specific",3,"0.07648472215401349%","quantitative",2,"0.025252525252525256%"
"","","","","","","","","","hypothesized",1,"0.08928571428571429%","validated",1,"0.1937984496124031%","largest",1,"0.06510416666666667%","glucose",1,"0.07974481658692185%","programming",3,"0.058173356602675974%","track",3,"0.05005777322728175%","glucose",2,"0.025252525252525256%"
"","","","","","","","","","pathologic",1,"0.08928571428571429%","tests",1,"0.1937984496124031%","share",1,"0.06510416666666667%","levels",1,"0.07974481658692185%","steps",3,"0.058173356602675974%","c",3,"0.030815477154494206%","fdg-pet",2,"0.025252525252525256%"
"","","","","","","","","","sensitivity",1,"0.08928571428571429%","appropriate",1,"0.1937984496124031%","segment",1,"0.06510416666666667%","lifestyle",1,"0.07974481658692185%","experiment",3,"0.058173356602675974%","rmts",3,"0.0693000693000693%","reflect",2,"0.025252525252525256%"
"","","","","","","","","","techniques",1,"0.08928571428571429%","repeated",1,"0.1937984496124031%","society",1,"0.06510416666666667%","diet",1,"0.07974481658692185%","engagement",3,"0.058173356602675974%","compared",3,"0.030815477154494206%","degree",2,"0.025252525252525256%"
"","","","","","","","","","rate",1,"0.08928571428571429%","affected",1,"0.1937984496124031%","proposal",1,"0.06510416666666667%","exercise",1,"0.07974481658692185%","tg",3,"0.058173356602675974%","questionnaires",3,"0.07648472215401349%","damage",2,"0.025252525252525256%"
"","","","","","","","","","predictor",1,"0.08928571428571429%","practice",1,"0.1937984496124031%","aims",1,"0.06510416666666667%","were",1,"0.07974481658692185%","yod",2,"0.10193679918450561%","late-stage",3,"0.08271298593879238%","addition",2,"0.049663299663299666%"
"","","","","","","","","","decline",1,"0.08928571428571429%","effects",1,"0.1937984496124031%","door-to-door",1,"0.06510416666666667%","effective",1,"0.07974481658692185%","impacts",2,"0.07538842401227723%","improve",3,"0.08271298593879238%","score",2,"0.025252525252525256%"
"","","","","","","","","","disability",1,"0.08928571428571429%","amnestic",1,"0.1937984496124031%","surveillance",1,"0.06510416666666667%","preventing",1,"0.07974481658692185%","common",2,"0.06407112495912912%","shared",3,"0.058999717653097146%","preliminary",2,"0.025252525252525256%"
"","","","","","","","","","follow-up",1,"0.08928571428571429%","predominant",1,"0.1937984496124031%","nueces",1,"0.06510416666666667%","conflicting",1,"0.07974481658692185%","type",2,"0.0671182703932864%","designed",3,"0.0352864493674019%","protein",2,"0.025252525252525256%"
"","","","","","","","","","multivariate",1,"0.08928571428571429%","trans",1,"0.1937984496124031%","county",1,"0.06510416666666667%","relating",1,"0.07974481658692185%","recent",2,"0.09471293152576113%","feasibility",3,"0.08814034722086538%","fdg",2,"0.025252525252525256%"
"","","","","","","","","","regression",1,"0.08928571428571429%","window",1,"0.1937984496124031%","texas",1,"0.06510416666666667%","increased",1,"0.07974481658692185%","cognition",2,"0.07538842401227723%","tele-savvy",3,"0.09085402786190187%","role",2,"0.04663986806843949%"
"","","","","","","","","","serve",1,"0.08928571428571429%","because",1,"0.1937984496124031%","non-immigrant",1,"0.06510416666666667%","clarified",1,"0.07974481658692185%","recruit",2,"0.06407112495912912%","site",3,"0.06442707893517013%","factors",2,"0.025252525252525256%"
"","","","","","","","","","dynamics",1,"0.08928571428571429%","ability",1,"0.1937984496124031%","bi-ethnic",1,"0.06510416666666667%","laboratory",1,"0.07974481658692185%","evidence",2,"0.07431106999374675%","assigned",3,"0.06442707893517013%","subsequent",2,"0.049663299663299666%"
"","","","","","","","","","ad-related",1,"0.08928571428571429%","record",1,"0.1937984496124031%","trajectory",1,"0.06510416666666667%","human",1,"0.07974481658692185%","combined",2,"0.07501842364227686%","automated",3,"0.011573181081706659%","most",2,"0.04663986806843949%"
"","","","","","","","","","relation",1,"0.08928571428571429%","signal",1,"0.1937984496124031%","elucidate",1,"0.06510416666666667%","suggested",1,"0.07974481658692185%","positron",2,"0.12504247366632687%","ii",3,"0.011573181081706659%","loss",2,"0.025252525252525256%"
"","","","","","","","","","functioning",1,"0.08928571428571429%","posterior",1,"0.1937984496124031%","mechanisms",1,"0.06510416666666667%","increases",1,"0.07974481658692185%","emission",2,"0.12504247366632687%","intensity",3,"0.011573181081706659%","function",2,"0.04221206144283067%"
"","","","","","","","","","conclusion",1,"0.08928571428571429%","artery",1,"0.1937984496124031%","explain",1,"0.06510416666666667%","but",1,"0.07974481658692185%","tomography",2,"0.12504247366632687%","whether",3,"0.011573181081706659%","independent",2,"0.049663299663299666%"
"","","","","","","","","","patient",1,"0.08928571428571429%","runs",1,"0.1937984496124031%","hypothesized",1,"0.06510416666666667%","countered",1,"0.07974481658692185%","50",2,"0.06407112495912912%","yield",3,"0.011573181081706659%","ability",2,"0.02904662387421008%"
"","","","","","","","","","cohort",1,"0.08928571428571429%","medial",1,"0.1937984496124031%","ethnic",1,"0.06510416666666667%","other",1,"0.07974481658692185%","recruited",2,"0.10193679918450561%","assess",3,"0.011573181081706659%","become",2,"0.02904662387421008%"
"","","","","","","","","","aims",1,"0.08928571428571429%","day",1,"0.1937984496124031%","disparity",1,"0.06510416666666667%","indicating",1,"0.07974481658692185%","period",2,"0.0671182703932864%","were",3,"0.011573181081706659%","world",2,"0.055179454115624325%"
"","","","","","","","","","clarify",1,"0.08928571428571429%","appointment",1,"0.1937984496124031%","alzheimer-related",1,"0.06510416666666667%","preliminary",1,"0.07974481658692185%","normal",2,"0.09471293152576113%","self-paced",3,"0.011573181081706659%","rate",2,"0.055179454115624325%"
"","","","","","","","","","whether",1,"0.08928571428571429%","ten",1,"0.1937984496124031%","evaluating",1,"0.06510416666666667%","humans",1,"0.07974481658692185%","performed",2,"0.0671182703932864%","interactive",3,"0.011573181081706659%","symptomatic",2,"0.10878010878010877%"
"","","","","","","","","","potential",1,"0.08928571428571429%","thirty",1,"0.1937984496124031%","roles",1,"0.06510416666666667%","animals",1,"0.07974481658692185%","immediately",2,"0.0671182703932864%","assessments",3,"0.011573181081706659%","studies",2,"0.025252525252525256%"
"","","","","","","","","","purpose",1,"0.06067961165048544%","minutes",1,"0.1937984496124031%","vascular",1,"0.06510416666666667%","aging",1,"0.10964912280701755%","protocol",2,"0.0671182703932864%","helping",3,"0.011573181081706659%","preclinical",2,"0.025252525252525256%"
"","","","","","","","","","found",1,"0.06067961165048544%","sonification",1,"0.1937984496124031%","risk",1,"0.06510416666666667%","decreases",1,"0.10964912280701755%","plan",2,"0.04884004884004884%","dr",3,"0.011573181081706659%","changes",2,"0.025252525252525256%"
"","","","","","","","","","detected",1,"0.06067961165048544%","device",1,"0.1937984496124031%","factors",1,"0.06510416666666667%","drastically",1,"0.10964912280701755%","simple",2,"0.04884004884004884%","given",3,"0.011573181081706659%","but",2,"0.024602310530454245%"
"","","","","","","","","","using",1,"0.06067961165048544%","aimed",1,"0.1937984496124031%","educational",1,"0.06510416666666667%","markedly",1,"0.10964912280701755%","snoring",2,"0.04884004884004884%","was",3,"0.011573181081706659%","significant",2,"0.055179454115624325%"
"","","","","","","","","","positron",1,"0.06067961165048544%","hippocampus",1,"0.1937984496124031%","attainment",1,"0.06510416666666667%","exaggerated",1,"0.10964912280701755%","comparative",2,"0.04884004884004884%","'excellent'",3,"0.011573181081706659%","processes",2,"0.10878010878010877%"
"","","","","","","","","","emission",1,"0.06067961165048544%","putamen",1,"0.1937984496124031%","socio-economic",1,"0.06510416666666667%","older",1,"0.10964912280701755%","mini-mental",2,"0.04884004884004884%","accuracy",3,"0.011573181081706659%","not",2,"0.024602310530454245%"
"","","","","","","","","","tomography",1,"0.06067961165048544%","substantia",1,"0.1937984496124031%","others",1,"0.06510416666666667%","suffering",1,"0.10964912280701755%","state",2,"0.04884004884004884%","text",3,"0.011573181081706659%","important",2,"0.02904662387421008%"
"","","","","","","","","","interested",1,"0.06067961165048544%","nigra",1,"0.1937984496124031%","delve",1,"0.06510416666666667%","mild",1,"0.10964912280701755%","examination",2,"0.04884004884004884%","supervised",3,"0.011573181081706659%","context",2,"0.025252525252525256%"
"","","","","","","","","","levels",1,"0.06067961165048544%","depending",1,"0.1937984496124031%","deeply",1,"0.06510416666666667%","impairment",1,"0.10964912280701755%","peripheral",2,"0.04884004884004884%","excellent",3,"0.011573181081706659%","aging",2,"0.10878010878010877%"
"","","","","","","","","","relate",1,"0.06067961165048544%","predetermined",1,"0.1937984496124031%","differences",1,"0.06510416666666667%","critically",1,"0.10964912280701755%","nfl",2,"0.04884004884004884%","set",3,"0.011573181081706659%","developed",2,"0.055179454115624325%"
