"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"aging",1,"0.18796992481203006%","","","","must",2,"0.26707149082117454%","people",1,"0.10822510822510822%","","","","","","","","","","performed",2,"0.14716703458425312%","","","","delivered",1,"0.4444444444444444%","-",3,"0.9615384615384616%","product",1,"0.1358695652173913%","randomized",3,"0.1345357776463631%","2",4,"0.3799760351484489%","adipose-derived",2,"0.12698412698412698%","monitored",2,"0.20139551048415125%","response",2,"0.12368583797155225%","as",1,"0.49504950495049505%","si",1,"0.6369426751592356%","procedure",1,"0.2403846153846154%"
"lead",1,"0.18796992481203006%","","","","day",2,"0.2994011976047904%","ultimate",1,"0.10822510822510822%","","","","","","","","","","assessed",2,"0.14716703458425312%","","","","back",1,"0.4444444444444444%","future",3,"0.5530709600477043%","anti-inflammatory",1,"0.1358695652173913%","arm",3,"0.1404494382022472%","evaluations",4,"0.06130268199233716%","mesenchymal",2,"0.12698412698412698%","duration",2,"0.20139551048415125%","them",2,"0.12368583797155225%","20",1,"0.49504950495049505%","shen",1,"0.6369426751592356%","weighting",1,"0.2403846153846154%"
"present",1,"0.18796992481203006%","","","","hcl",2,"0.2994011976047904%","goal",1,"0.10822510822510822%","","","","","","","","","","conducted",2,"0.14716703458425312%","","","","seeks",1,"0.09746588693957114%","ketone",3,"0.4032258064516129%","agent",1,"0.1358695652173913%","months",3,"0.13749260792430515%","performed",4,"0.15012873484179348%","stem",2,"0.12698412698412698%","tacrolimus",2,"1.2345679012345678%","4",2,"0.12368583797155225%","micro",1,"0.49504950495049505%","chong",1,"0.6369426751592356%","part",1,"0.2403846153846154%"
"lack",1,"0.18796992481203006%","","","","two",2,"0.2556328021922257%","develop",1,"0.10822510822510822%","","","","","","","","","","complete",2,"0.14716703458425312%","","","","establish",1,"0.09746588693957114%","imaging",3,"0.4032258064516129%","consisted",1,"0.1358695652173913%","as",3,"0.1345357776463631%","risk",4,"0.09469986169633693%","cells",2,"0.12698412698412698%","due",2,"0.7334279692003269%","weeks",2,"0.12368583797155225%","gram",1,"0.49504950495049505%","st36",1,"0.6369426751592356%","iiib",1,"0.2403846153846154%"
"effective",1,"0.18796992481203006%","","","","after",2,"0.2556328021922257%","early",1,"0.10822510822510822%","","","","","","","","","","mmse",2,"0.14716703458425312%","","","","acceptability",1,"0.09746588693957114%","uses",3,"0.4032258064516129%","multi-glycan",1,"0.1358695652173913%","people",3,"0.13157894736842105%","analysis",4,"0.11087596995725964%","possible",2,"0.1305611446456517%","chronic",2,"0.23228803716608595%","while",2,"0.12368583797155225%","bid",1,"0.49504950495049505%","37",1,"0.6369426751592356%","iv",1,"0.2403846153846154%"
"drug",1,"0.18796992481203006%","","","","4",2,"0.2556328021922257%","diagnostic",1,"0.10822510822510822%","","","","","","","","","","icf",2,"0.14716703458425312%","","","","limited",1,"0.09746588693957114%","compounds",3,"0.4032258064516129%","complex",1,"0.1358695652173913%","scan",3,"0.13157894736842105%","activity",4,"0.179220646685024%","safety",2,"0.12698412698412698%","traumatic",2,"0.23228803716608595%","allow",2,"0.12368583797155225%","dose",1,"0.49504950495049505%","lv",1,"0.6369426751592356%","involves",1,"0.2403846153846154%"
"conditions",1,"0.18796992481203006%","","","","secondary",2,"0.2556328021922257%","tool",1,"0.10822510822510822%","","","","","","","","","","home",2,"0.14716703458425312%","","","","efficacy",1,"0.09746588693957114%","these",3,"0.3850962740685171%","mgc",1,"0.1358695652173913%","decision",3,"0.13157894736842105%","purpose",4,"0.7141659822089659%","profile",2,"0.12698412698412698%","encephalopathy",2,"0.23228803716608595%","investigation",2,"0.2797078427330528%","decreased",1,"0.49504950495049505%","3",1,"0.6369426751592356%","disease",1,"0.2403846153846154%"
"makes",1,"0.18796992481203006%","","","","functional",2,"0.2556328021922257%","hypotheses",1,"0.10822510822510822%","","","","","","","","","","potential",2,"0.14716703458425312%","","","","simple",1,"0.09746588693957114%","fats",3,"0.4032258064516129%","from",1,"0.1358695652173913%","memo",3,"0.13157894736842105%","mind",4,"0.2002002002002002%","iv",2,"0.12698412698412698%","decline",2,"0.23228803716608595%","research",2,"0.12368583797155225%","if",1,"0.49504950495049505%","gb",1,"0.6369426751592356%","europe",1,"0.2403846153846154%"
"imperative",1,"0.18796992481203006%","","","","mini-mental",2,"0.26707149082117454%","1",1,"0.10822510822510822%","","","","","","","","","","between",2,"0.14716703458425312%","","","","home-delivered",1,"0.09746588693957114%","participant",3,"0.3850962740685171%","soybean",1,"0.1358695652173913%","scanning",3,"0.13157894736842105%","examine",4,"0.5522748897307201%","infusions",2,"0.12698412698412698%","years",2,"0.23228803716608595%","if",2,"0.12368583797155225%","there",1,"0.49504950495049505%","34",1,"0.6369426751592356%","canada",1,"0.2403846153846154%"
"potential",1,"0.18796992481203006%","","","","state",2,"0.26707149082117454%","differentiate",1,"0.10822510822510822%","","","","","","","","","","sessions",2,"0.14716703458425312%","","","","non-pharmacological",1,"0.09746588693957114%","ensure",3,"0.4032258064516129%","extract",1,"0.1358695652173913%","molecular",3,"0.13157894736842105%","patients",4,"0.1835879988676382%","1",2,"0.11415062478892267%","phone",2,"0.23228803716608595%","through",2,"0.12368583797155225%","evidence",1,"0.49504950495049505%","39",1,"0.6369426751592356%","latin",1,"0.2403846153846154%"
"therapeutic",1,"0.18796992481203006%","","","","mmse",2,"0.26707149082117454%","2",1,"0.10822510822510822%","","","","","","","","","","following",2,"0.14716703458425312%","","","","relieve",1,"0.09746588693957114%","plus",3,"0.3669667416854213%","it",1,"0.1358695652173913%","scans",3,"0.13157894736842105%","effects",4,"0.19739490922627267%","2a",2,"0.11415062478892267%","screening",2,"0.23228803716608595%","objectives",2,"0.12368583797155225%","side",1,"0.49504950495049505%","xia",1,"0.6369426751592356%","america",1,"0.2403846153846154%"
"interventions",1,"0.18796992481203006%","","","","blood",2,"0.2556328021922257%","distinguish",1,"0.10822510822510822%","","","","","","","","","","blood",2,"0.14716703458425312%","","","","stress",1,"0.09746588693957114%","take",3,"0.3669667416854213%","aims",1,"0.1358695652173913%","outcomes",3,"0.13157894736842105%","vessel",4,"0.07852375343541422%","24",2,"0.11415062478892267%","if",2,"0.23228803716608595%","objective",2,"0.2797078427330528%","including",1,"0.49504950495049505%","san",1,"0.6369426751592356%","designed",1,"0.2403846153846154%"
"described",1,"0.18796992481203006%","","","","safety",2,"0.2556328021922257%","remain",1,"0.10822510822510822%","","","","","","","","","","glucose",2,"0.14716703458425312%","","","","improve",1,"0.09746588693957114%","mindoula",3,"0.3488372093023256%","reduce",1,"0.1358695652173913%","health",3,"0.13157894736842105%","health",4,"0.1227497754852452%","overall",2,"0.1550671550671551%","screen",2,"0.23228803716608595%","standard",2,"0.12368583797155225%","cardiac",1,"0.49504950495049505%","huang",1,"0.6369426751592356%","prospective",1,"0.2403846153846154%"
"as",1,"0.18796992481203006%","","","","objective",2,"0.2347417840375587%","stable",1,"0.10822510822510822%","","","","","","","","","","well",2,"0.14716703458425312%","","","","affect",1,"0.09746588693957114%","surveys",3,"0.3488372093023256%","neruoinflammation",1,"0.1358695652173913%","cerebral",3,"0.13157894736842105%","safety",3,"0.04597701149425287%","primary",2,"0.11415062478892267%","then",2,"0.23228803716608595%","neuropsychological",2,"0.12368583797155225%","respiratory",1,"0.49504950495049505%","11",1,"0.6369426751592356%","randomized",1,"0.2403846153846154%"
"possibly",1,"0.18796992481203006%","","","","available",2,"0.22330309540860985%","3",1,"0.10822510822510822%","","","","","","","","","","pet",2,"0.14716703458425312%","","","","prevent",1,"0.09746588693957114%","arm",3,"0.3488372093023256%","alzhemimer",1,"0.1358695652173913%","physicians",3,"0.13157894736842105%","0",3,"0.04597701149425287%","endpoint",2,"0.12698412698412698%","evaluation",2,"0.23228803716608595%","tests",2,"0.12368583797155225%","alteration",1,"0.49504950495049505%","4",1,"0.6369426751592356%","active-controlled",1,"0.2403846153846154%"
"useful",1,"0.18796992481203006%","","","","global",2,"0.2347417840375587%","lower",1,"0.10822510822510822%","","","","","","","","","","scan",2,"0.14716703458425312%","","","","quell",1,"0.09746588693957114%","compare",2,"0.3534943508558285%","eligible",1,"0.1358695652173913%","all",3,"0.13157894736842105%","56",3,"0.04597701149425287%","adverse",2,"0.12698412698412698%","draw",2,"0.23228803716608595%","evaluate",2,"0.2797078427330528%","changes",1,"0.49504950495049505%","","","","parallel-group",1,"0.2403846153846154%"
"improving",1,"0.18796992481203006%","","","","standard",2,"0.2347417840375587%","at",1,"0.10822510822510822%","","","","","","","","","","visits",2,"0.14716703458425312%","","","","disruptive",1,"0.09746588693957114%","low",2,"0.16739013249354553%","randomly",1,"0.1358695652173913%","close",2,"0.1592356687898089%","production",3,"0.0850066589069879%","event",2,"0.12698412698412698%","neuropsychological",2,"0.23228803716608595%","1",2,"0.2797078427330528%","gastro-intestinal",1,"0.49504950495049505%","","","","multicenter",1,"0.2403846153846154%"
"however",1,"0.18796992481203006%","","","","therapy",2,"0.2347417840375587%","baseline",1,"0.10822510822510822%","","","","","","","","","","4",2,"0.14716703458425312%","","","","community-residing",1,"0.09746588693957114%","high",2,"0.06596306068601583%","assigned",1,"0.1358695652173913%","homology",2,"0.1592356687898089%","both",3,"0.0850066589069879%","second",2,"0.13751130849576446%","visit",2,"0.23228803716608595%","eeg",2,"0.12368583797155225%","disturbances",1,"0.49504950495049505%","","","","double-dummy",1,"0.2403846153846154%"
"well-designed",1,"0.18796992481203006%","","","","background",2,"0.17661259817991679%","progress",1,"0.10822510822510822%","","","","","","","","","","28",2,"0.14716703458425312%","","","","diagnosed",1,"0.09746588693957114%","by",2,"0.06596306068601583%","either",1,"0.1358695652173913%","suggests",2,"0.1592356687898089%","improve",3,"0.0545875472157914%","beta",2,"0.12698412698412698%","adverse",2,"0.23228803716608595%","conservative",2,"0.12368583797155225%","neurological",1,"0.49504950495049505%","","","","endpoint",1,"0.2403846153846154%"
"date",1,"0.18796992481203006%","","","","have",2,"0.2347417840375587%","sooner",1,"0.10822510822510822%","","","","","","","","","","over",2,"0.7982211984515467%","","","","early",1,"0.09746588693957114%","increments",2,"0.06596306068601583%","matched",1,"0.1358695652173913%","affecting",2,"0.1592356687898089%","memory",3,"0.09555029945917536%","assessed",2,"0.1305611446456517%","events",2,"0.23228803716608595%","item-specific",2,"0.12368583797155225%","issues",1,"0.49504950495049505%","","","","total",1,"0.2403846153846154%"
"results",1,"0.18796992481203006%","","","","reduce",2,"0.2347417840375587%","than",1,"0.10822510822510822%","","","","","","","","","","prior",2,"0.14716703458425312%","","","","unmanaged",1,"0.09746588693957114%","bi-weekly",2,"0.06596306068601583%","vehicle",1,"0.1358695652173913%","involve",2,"0.1592356687898089%","dose",3,"0.29520160554643315%","changes",2,"0.1550671550671551%","later",2,"0.23228803716608595%","encoding",2,"0.12368583797155225%","","","","","","","five",1,"0.2403846153846154%"
"equivocal",1,"0.18796992481203006%","","","","participants",2,"0.2347417840375587%","higher",1,"0.10822510822510822%","","","","","","","","","","treatment",2,"0.14716703458425312%","","","","episodes",1,"0.09746588693957114%","has",2,"0.14926060011044978%","external",1,"0.1358695652173913%","counterpart",2,"0.1592356687898089%","disorders",3,"0.04597701149425287%","status",2,"0.1305611446456517%","two-year",2,"0.23228803716608595%","week",2,"0.12368583797155225%","","","","","","","visits",1,"0.2403846153846154%"
"most",1,"0.18796992481203006%","","","","between",2,"0.17661259817991679%","faster",1,"0.10822510822510822%","","","","","","","","","","o2",2,"0.14716703458425312%","","","","can",1,"0.09746588693957114%","been",2,"0.06596306068601583%","nasal",1,"0.1358695652173913%","already",2,"0.1592356687898089%","mini-mental",3,"0.04597701149425287%","living",2,"0.13751130849576446%","follow-up",2,"0.23228803716608595%","example",2,"0.12368583797155225%","","","","","","","scheduled",1,"0.2403846153846154%"
"relied",1,"0.18796992481203006%","","","","enrollment",2,"0.2347417840375587%","rate",1,"0.10822510822510822%","","","","","","","","","","motor",2,"1.4492753623188406%","","","","antecedents",1,"0.09746588693957114%","reached",2,"0.06596306068601583%","skin",1,"0.1358695652173913%","proven",2,"0.12347748351771147%","state",3,"0.04597701149425287%","related",2,"0.1305611446456517%","blinded",2,"0.23228803716608595%","tablet",2,"0.12368583797155225%","","","","","","","follow-up",1,"0.2403846153846154%"
"paper-based",1,"0.18796992481203006%","","","","review",2,"0.2347417840375587%","decline",1,"0.10822510822510822%","","","","","","","","","","objective",1,"0.12626262626262627%","","","","agitation",1,"0.09746588693957114%","successfully",2,"0.06596306068601583%","scalp",1,"0.1358695652173913%","studies",2,"0.1264343137956535%","20",3,"0.14303959131545338%","studies",2,"0.1341381623071764%","hopes",1,"0.08525149190110827%","about",2,"0.12368583797155225%","","","","","","","phone",1,"0.2403846153846154%"
"instruments",1,"0.18796992481203006%","","","","obtained",2,"0.2347417840375587%","earlier",1,"0.10822510822510822%","","","","","","","","","","effects",1,"0.12626262626262627%","","","","anger",1,"0.09746588693957114%","completing",2,"0.06596306068601583%","neck",1,"0.1358695652173913%","thus",2,"0.1264343137956535%","their",3,"0.1585477102718482%","pro-inﬂammation",2,"0.1341381623071764%","differences",1,"0.08525149190110827%","strategy",2,"0.12368583797155225%","","","","","","","call",1,"0.2403846153846154%"
"accuracy",1,"0.18796992481203006%","","","","out",2,"0.17661259817991679%","insidious",1,"0.10822510822510822%","","","","","","","","","","different",1,"0.12626262626262627%","","","","sometimes",1,"0.09746588693957114%","have",2,"0.06596306068601583%","30ml",1,"0.1358695652173913%","propose",2,"0.1592356687898089%","those",3,"0.0850066589069879%","oxidative",2,"0.1341381623071764%","analyzing",1,"0.08525149190110827%","feasibility",2,"0.4357298474945534%","","","","","","","performed",1,"0.2403846153846154%"
"reproducibility",1,"0.18796992481203006%","","","","each",2,"0.22330309540860985%","boundary",1,"0.10822510822510822%","","","","","","","","","","agents",1,"0.12626262626262627%","","","","even",1,"0.09746588693957114%","option",2,"0.06596306068601583%","day",1,"0.1358695652173913%","presence",2,"0.12347748351771147%","done",3,"0.050282279355022136%","stress",2,"0.1341381623071764%","diffusion-weight",1,"0.08525149190110827%","embedded",2,"0.4357298474945534%","","","","","","","first",1,"0.2403846153846154%"
"investigators",1,"0.18796992481203006%","","","","are",2,"0.22330309540860985%","aging",1,"0.10822510822510822%","","","","","","","","","","function",1,"0.12626262626262627%","","","","violence",1,"0.09746588693957114%","open",2,"0.06596306068601583%","times",1,"0.1358695652173913%","immunohistochemical",2,"0.1592356687898089%","at",3,"0.04597701149425287%","brain-gut",2,"0.1341381623071764%","images",1,"0.08525149190110827%","pragmatic",2,"0.4357298474945534%","","","","","","","screening",1,"0.2403846153846154%"
"validated",1,"0.18796992481203006%","","","","worldwide",2,"0.11848341232227488%","blurred",1,"0.10822510822510822%","","","","","","","","","","test",1,"0.12626262626262627%","","","","dyadic",1,"0.09746588693957114%","separate",2,"0.06596306068601583%","daily",1,"0.1358695652173913%","biochemical",2,"0.1592356687898089%","review",3,"0.08070139104621862%","axis",2,"0.1341381623071764%","conscious",1,"0.08525149190110827%","cluster",2,"0.4357298474945534%","","","","","","","identifies",1,"0.2403846153846154%"
"increased",1,"0.18796992481203006%","","","","leading",2,"0.11848341232227488%","prevent",1,"0.10822510822510822%","","","","","","","","","","compared",1,"0.12626262626262627%","","","","strategy",1,"0.09746588693957114%","returned",2,"0.06596306068601583%","duration",1,"0.1358695652173913%","shown",2,"0.1264343137956535%","may",3,"0.09555029945917536%","were",2,"0.1341381623071764%","states",1,"0.08525149190110827%","randomized",2,"0.4357298474945534%","","","","","","","participants",1,"0.2403846153846154%"
"test-retest",1,"0.18796992481203006%","","","","cause",2,"0.11848341232227488%","treat",1,"0.10822510822510822%","","","","","","","","","","less",1,"0.12626262626262627%","","","","engaged",1,"0.09746588693957114%","pre-admission",2,"0.06596306068601583%","each",1,"0.1358695652173913%","neurons",2,"0.1592356687898089%","from",3,"0.0545875472157914%","decreased",2,"0.14108832615728914%","agent",1,"0.08525149190110827%","controlled",2,"0.4357298474945534%","","","","","","","who",1,"0.2403846153846154%"
"reliability",1,"0.18796992481203006%","","","","blindness",2,"0.11848341232227488%","must",1,"0.10822510822510822%","","","","","","","","","","effect",1,"0.12626262626262627%","","","","memory",1,"0.09746588693957114%","therapeutic",2,"0.06596306068601583%","patient",1,"0.1358695652173913%","represent",2,"0.1592356687898089%","into",3,"0.14303959131545338%","regulation",2,"0.15864417272867978%","that",1,"0.08525149190110827%","trial",2,"0.4357298474945534%","","","","","","","eligible",1,"0.2403846153846154%"
"assess",1,"0.18796992481203006%","","","","key",2,"0.11848341232227488%","able",1,"0.10822510822510822%","","","","","","","","","","post-operative",1,"0.12626262626262627%","","","","interrupt",1,"0.09746588693957114%","discharged",2,"0.06596306068601583%","12",1,"0.1358695652173913%","unique",2,"0.1592356687898089%","investigators",3,"0.31973967354222427%","risk",2,"0.14108832615728914%","facilitates",1,"0.08525149190110827%","reduce",2,"0.4357298474945534%","","","","","","","interested",1,"0.2403846153846154%"
"efficacy",1,"0.18796992481203006%","","","","feature",2,"0.11848341232227488%","its",1,"0.10822510822510822%","","","","","","","","","","dysfunction",1,"0.12626262626262627%","","","","current",1,"0.09746588693957114%","drug",2,"0.06596306068601583%","consists",1,"0.1358695652173913%","window",2,"0.1592356687898089%","sc",3,"0.04597701149425287%","assess",2,"0.1341381623071764%","sedated",1,"0.08525149190110827%","duration",2,"0.4357298474945534%","","","","","","","parameters",1,"0.2403846153846154%"
"persons",1,"0.18796992481203006%","","","","ocular",2,"0.11848341232227488%","stage",1,"0.10822510822510822%","","","","","","","","","","mild-to-moderate",1,"0.12626262626262627%","","","","episode",1,"0.09746588693957114%","increase",2,"0.06596306068601583%","6",1,"0.1358695652173913%","neuropathology",2,"0.1592356687898089%","rating",3,"0.04597701149425287%","wismemo",2,"0.1341381623071764%","state",1,"0.08525149190110827%","therapy",2,"0.4357298474945534%","","","","","","","6-7",1,"0.2403846153846154%"
"normal",1,"0.18796992481203006%","","","","neuropathy",2,"0.11848341232227488%","before",1,"0.10822510822510822%","","","","","","","","","","elective",1,"0.12626262626262627%","","","","family",1,"0.09746588693957114%","ad",2,"0.3534943508558285%","visits",1,"0.1358695652173913%","living",2,"0.1592356687898089%","daily",3,"0.09450830140485313%","such",2,"0.1341381623071764%","characterized",1,"0.08525149190110827%","prescriptions",2,"0.4357298474945534%","","","","","","","14-15",1,"0.2403846153846154%"
"cognition",1,"0.18796992481203006%","","","","characterized",2,"0.11848341232227488%","damage",1,"0.10822510822510822%","","","","","","","","","","noncardiac",1,"0.12626262626262627%","","","","caregivers",1,"0.09746588693957114%","given",2,"0.06596306068601583%","located",1,"0.1358695652173913%","may",2,"0.1264343137956535%","living",3,"0.09450830140485313%","probiotics",2,"0.1341381623071764%","waves",1,"0.08525149190110827%","three",2,"0.4357298474945534%","","","","","","","evaluate",1,"0.32894736842105265%"
"description",1,"0.18796992481203006%","","","","excavating",2,"0.11848341232227488%","becomes",1,"0.10822510822510822%","","","","","","","","","","nonneurologic",1,"0.12626262626262627%","","","","trained",1,"0.09746588693957114%","4",2,"0.16739013249354553%","at",1,"0.1358695652173913%","human",2,"0.1592356687898089%","results",3,"0.07506892333748337%","consumption",2,"0.1341381623071764%","inhibition",1,"0.08525149190110827%","ecare-id",2,"0.4357298474945534%","","","","","","","ketogenic",1,"0.32894736842105265%"
"prospective",1,"0.18796992481203006%","","","","head",2,"0.11848341232227488%","irreversible",1,"0.10822510822510822%","","","","","","","","","","nonvascular",1,"0.12626262626262627%","","","","collaborate",1,"0.09746588693957114%","escalation",2,"0.06596306068601583%","screening",1,"0.1358695652173913%","addition",2,"0.1264343137956535%","pk",3,"0.29520160554643315%","randomized",2,"0.11772764245044735%","conceptually",1,"0.08525149190110827%","electronic",2,"0.4357298474945534%","","","","","","","compound",1,"0.32894736842105265%"
"eligible",1,"0.18796992481203006%","","","","loss",2,"0.11848341232227488%","there",1,"0.10822510822510822%","","","","","","","","","","recruited",1,"0.12626262626262627%","","","","guide",1,"0.09746588693957114%","subject",2,"0.14926060011044978%","baseline",1,"0.1358695652173913%","aim",2,"0.12347748351771147%","aim",3,"0.12033694344163659%","probiotic",2,"0.1341381623071764%","because",1,"0.08525149190110827%","tele-id",2,"0.4357298474945534%","","","","","","","administered",1,"0.32894736842105265%"
"males",1,"0.18796992481203006%","","","","retinal",2,"0.11848341232227488%","substantial",1,"0.10822510822510822%","","","","","","","","","","massachusetts",1,"0.12626262626262627%","","","","access",1,"0.09746588693957114%","exit",2,"0.06596306068601583%","week",1,"0.1358695652173913%","current",2,"0.12347748351771147%","respiratory",3,"0.12033694344163659%","half",2,"0.1341381623071764%","blocker",1,"0.08525149190110827%","video",2,"0.4357298474945534%","","","","","","","orally",1,"0.32894736842105265%"
"females",1,"0.18796992481203006%","","","","ganglion",2,"0.11848341232227488%","body",1,"0.10822510822510822%","","","","","","","","","","general",1,"0.12626262626262627%","","","","positive",1,"0.09746588693957114%","successful",2,"0.06596306068601583%","0",1,"0.1358695652173913%","research",2,"0.1264343137956535%","pauses",3,"0.12033694344163659%","participants",2,"0.15864417272867978%","mimic",1,"0.08525149190110827%","healthcare",2,"0.4357298474945534%","","","","","","","basis",1,"0.32894736842105265%"
"aged",1,"0.18796992481203006%","","","","cells",2,"0.11848341232227488%","dealing",1,"0.10822510822510822%","","","","","","","","","","hospital",1,"0.12626262626262627%","","","","memories",1,"0.09746588693957114%","month",2,"0.06596306068601583%","-2",1,"0.1358695652173913%","both",2,"0.1264343137956535%","disorder",3,"0.23243163048316104%","receive",2,"0.1341381623071764%","wave",1,"0.08525149190110827%","personnel",2,"0.4357298474945534%","","","","","","","following",1,"0.32894736842105265%"
"60",1,"0.18796992481203006%","","","","final",2,"0.11848341232227488%","predictive",1,"0.10822510822510822%","","","","","","","","","","first",1,"0.12626262626262627%","","","","as",1,"0.09746588693957114%","entry",2,"0.06596306068601583%","-4",1,"0.1358695652173913%","development",2,"0.12347748351771147%","whether",3,"0.13027467901114112%","combination",2,"0.1341381623071764%","architecture",1,"0.08525149190110827%","participating",2,"0.4357298474945534%","","","","","","","may",1,"0.32894736842105265%"
"initial",1,"0.18796992481203006%","","","","end",2,"0.11848341232227488%","markers",1,"0.10822510822510822%","","","","","","","","","","introduced",1,"0.12626262626262627%","","","","way",1,"0.09746588693957114%","upon",2,"0.06596306068601583%","-8",1,"0.1358695652173913%","evaluate",2,"0.6023720349563046%","blood-brain",3,"0.12033694344163659%","other",2,"0.11772764245044735%","opening",1,"0.08525149190110827%","plan",1,"0.17094017094017092%","","","","","","","enroll",1,"0.32894736842105265%"
"receive",1,"0.18796992481203006%","","","","blinding",2,"0.11848341232227488%","despite",1,"0.10822510822510822%","","","","","","","","","","surgical",1,"0.12626262626262627%","","","","manage",1,"0.09746588693957114%","scan",2,"0.16739013249354553%","-12",1,"0.1358695652173913%","positron",2,"0.5994152046783626%","barrier",3,"0.12033694344163659%","effect",2,"0.1341381623071764%","spaces",1,"0.08525149190110827%","2008-2012",1,"0.17094017094017092%","","","","","","","an",1,"0.32894736842105265%"
"either",1,"0.18796992481203006%","","","","diseases",2,"0.11848341232227488%","these",1,"0.10822510822510822%","","","","","","","","","","appointment",1,"0.12626262626262627%","","","","move",1,"0.09746588693957114%","associated",2,"0.06596306068601583%","during",1,"0.1358695652173913%","emission",2,"0.5994152046783626%","measurable",3,"0.12033694344163659%","new",2,"0.10131712259371835%","facilitating",1,"0.08525149190110827%","allowed",1,"0.17094017094017092%","","","","","","","optional",1,"0.32894736842105265%"
"repeat",1,"0.18796992481203006%","","","","it",2,"0.11848341232227488%","advances",1,"0.10822510822510822%","","","","","","","","","","his",1,"0.12626262626262627%","","","","past",1,"0.09746588693957114%","studies",2,"0.06596306068601583%","period",1,"0.1358695652173913%","tomography",2,"0.5994152046783626%","link",3,"0.15958970832617045%","radioligand",2,"0.10131712259371835%","plaque",1,"0.08525149190110827%","installation",1,"0.17094017094017092%","","","","","","","open-label",1,"0.32894736842105265%"
"followed",1,"0.18796992481203006%","","","","known",2,"0.11848341232227488%","however",1,"0.10822510822510822%","","","","","","","","","","her",1,"0.12626262626262627%","","","","plagues",1,"0.09746588693957114%","while",2,"0.06596306068601583%","may",1,"0.1358695652173913%","mild",2,"0.6023720349563046%","breathing",3,"0.16782623529791463%","imaging",2,"0.10131712259371835%","removal",1,"0.08525149190110827%","structures",1,"0.17094017094017092%","","","","","","","extension",1,"0.32894736842105265%"
"reassessment",1,"0.18796992481203006%","","","","neuronal",2,"0.11848341232227488%","researchers",1,"0.10822510822510822%","","","","","","","","","","interested",1,"0.12626262626262627%","","","","-",1,"0.09746588693957114%","do",2,"0.16739013249354553%","continue",1,"0.1358695652173913%","moderate",2,"0.6023720349563046%","subjective",3,"0.14021241458064562%","tauopathy",2,"0.10131712259371835%","its",1,"0.08525149190110827%","welcoming",1,"0.17094017094017092%","","","","","","","evaluated",1,"0.32894736842105265%"
"recent",1,"0.18796992481203006%","","","","occurs",2,"0.11848341232227488%","had",1,"0.10822510822510822%","","","","","","","","","","participating",1,"0.12626262626262627%","","","","often",1,"0.09746588693957114%","withdrawn",2,"0.06596306068601583%","routinely",1,"0.1358695652173913%","one",2,"0.09363295880149813%","they",3,"0.13910833220447844%","formerly",2,"0.10131712259371835%","profile",1,"0.08525149190110827%","physical",1,"0.17094017094017092%","","","","","","","standard",1,"0.32894736842105265%"
"fact",1,"0.18796992481203006%","","","","mechanism",2,"0.11848341232227488%","enough",1,"0.10822510822510822%","","","","","","","","","","notify",1,"0.12626262626262627%","","","","arising",1,"0.09746588693957114%","increased",2,"0.06596306068601583%","used",1,"0.1358695652173913%","it",2,"0.09363295880149813%","one",3,"0.39226418536763363%","6958948",2,"0.10131712259371835%","among",1,"0.08525149190110827%","psychological",1,"0.17094017094017092%","","","","","","","tests",1,"0.32894736842105265%"
"led",1,"0.18796992481203006%","","","","earlier",2,"0.11848341232227488%","evidence",1,"0.10822510822510822%","","","","","","","","","","surgeons",1,"0.12626262626262627%","","","","when",1,"0.09746588693957114%","until",2,"0.06596306068601583%","medications",1,"0.1358695652173913%","determine",2,"0.09067612852355608%","explore",3,"0.20707900018244846%","absence",2,"0.10131712259371835%","elderly",1,"0.08525149190110827%","benefits",1,"0.17094017094017092%","","","","","","","memory",1,"0.32894736842105265%"
"diseases",1,"0.18796992481203006%","","","","investigators",2,"0.11848341232227488%","recommend",1,"0.10822510822510822%","","","","","","","","","","subsequent",1,"0.12626262626262627%","","","","confronted",1,"0.09746588693957114%","first",2,"0.06596306068601583%","treatments",1,"0.1358695652173913%","obtain",2,"0.09067612852355608%","after",3,"0.11862695608278646%","off-target",2,"0.10131712259371835%","acutely",1,"0.08525149190110827%","improvement",1,"0.17094017094017092%","","","","","","","cognition",1,"0.32894736842105265%"
"associated",1,"0.18796992481203006%","","","","could",2,"0.11848341232227488%","specific",1,"0.10822510822510822%","","","","","","","","","","place",1,"0.12626262626262627%","","","","by",1,"0.09746588693957114%","fid",2,"0.06596306068601583%","except",1,"0.1358695652173913%","remained",2,"0.09363295880149813%","stress",3,"0.23569490028960813%","generation",2,"0.10131712259371835%","ill",1,"0.08525149190110827%","state",1,"0.17094017094017092%","","","","","","","along",1,"0.32894736842105265%"
