"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","7",2,"0.03286770747740345%","qualified",1,"0.05737234652897303%","","","","provides",1,"0.02247191011235955%","","","","ventricular",1,"0.13550135501355012%","mental",2,"0.06142506142506143%","eye",5,"0.03701544739143107%","progression",5,"0.04913448988729791%","change",7,"0.05760733245634092%","caregivers",12,"0.05878670812748072%","they",15,"0.045731646298649016%","18f",24,"0.09383872550225364%","participant",18,"0.05421718457479286%","","",""
"","","","","","","","","","find",2,"0.03286770747740345%","investigators",1,"0.05737234652897303%","","","","unique",1,"0.02247191011235955%","","","","enlargement",1,"0.13550135501355012%","mmse",2,"0.06142506142506143%","flow",5,"0.05988055833864982%","programs",5,"0.06478993397222466%","if",7,"0.035411499594516595%","hearing",12,"0.04193604752752053%","model",15,"0.04487504009138517%","therapy",24,"0.06957091613617057%","healthcare",18,"0.04915991063791403%","","",""
"","","","","","","","","","non-pharmacological",2,"0.03286770747740345%","user-friendly",1,"0.05737234652897303%","","","","opportunity",1,"0.02247191011235955%","","","","outcome",1,"0.13550135501355012%","lifestyle",2,"0.06142506142506143%","collected",5,"0.03589479589306436%","lack",5,"0.04206742449097573%","evidence",7,"0.049728084892157846%","main",11,"0.027504333141613484%","hypothesis",15,"0.04337954465250359%","history",24,"0.023173913634194524%","multiple",18,"0.06664554987516137%","","",""
"","","","","","","","","","ε4",2,"0.03286770747740345%","manner",1,"0.05737234652897303%","","","","while",1,"0.02247191011235955%","","","","when",1,"0.13550135501355012%","associated",2,"0.046515312002037665%","cortical",5,"0.01773049645390071%","attention",5,"0.08446999167993928%","end",7,"0.05545714852050426%","effectiveness",11,"0.06756725015400497%","most",15,"0.0422829570476814%","scale",24,"0.042032467606140864%","activities",18,"0.03001026875765122%","","",""
"","","","","","","","","","carriers",2,"0.03286770747740345%","permit",1,"0.05737234652897303%","","","","stages",1,"0.02247191011235955%","","","","randomized",1,"0.13550135501355012%","single",2,"0.119998244998245%","acquisition",5,"0.01773049645390071%","patient",5,"0.03144834386580762%","participate",7,"0.05480774458290586%","high",11,"0.05230343975730393%","target",15,"0.03438885601214442%","biomarker",24,"0.06238580593694647%","single",18,"0.08814076402526547%","","",""
"","","","","","","","","","included",2,"0.03286770747740345%","analyses",1,"0.05737234652897303%","","","","families",1,"0.02247191011235955%","","","","receptor",1,"0.13550135501355012%","subsequent",2,"0.03909616585672924%","spectroscopy",5,"0.026680896478121663%","mechanism",5,"0.04706576886378068%","screening",7,"0.058721679374098536%","due",11,"0.05042100414923526%","available",15,"0.03563841501141668%","future",24,"0.038701981985040046%","stress",18,"0.048781864237923765%","","",""
"","","","","","","","","","subtype",2,"0.03286770747740345%","between",1,"0.05737234652897303%","","","","extremely",1,"0.02247191011235955%","","","","blocker",1,"0.13550135501355012%","cannot",2,"0.03909616585672924%","rna",5,"0.026680896478121663%","approach",5,"0.0497395299544128%","evaluation",7,"0.07031941993443043%","future",11,"0.0431411501308648%","approach",15,"0.031556907176578664%","minutes",24,"0.03391523917858664%","researchers",18,"0.039447811867012295%","","",""
"","","","","","","","","","mixed",2,"0.03286770747740345%","among",1,"0.05737234652897303%","","","","rare",1,"0.02247191011235955%","","","","arb",1,"0.13550135501355012%","analysis",2,"0.16512113286306834%","family",4,"0.1014829341166735%","outcome",5,"0.02370055322742802%","thus",7,"0.03307178274476008%","enroll",11,"0.05982043028759932%","condition",15,"0.04528582573949145%","session",24,"0.05753327579145391%","cerebral",18,"0.05078743778845472%","","",""
"","","","","","","","","","therapeutic",2,"0.03286770747740345%","domains",1,"0.05737234652897303%","","","","geographically",1,"0.02247191011235955%","","","","compared",1,"0.13550135501355012%","subject",2,"0.03909616585672924%","genes",4,"0.1075268817204301%","order",5,"0.04066991594272017%","related",7,"0.07787039338389387%","aβ",11,"0.08383584062233704%","mvpa",15,"0.02748763056624519%","practice",24,"0.03532044148005559%","practice",18,"0.025669668396482%","","",""
"","","","","","","","","","carry",2,"0.03286770747740345%","controls",1,"0.05737234652897303%","","","","dispersed",1,"0.02247191011235955%","","","","converting",1,"0.13550135501355012%","purpose",2,"0.130033331541315%","detect",4,"0.04110017831213633%","investigators'",5,"0.03925689086116893%","due",7,"0.040200278609741597%","events",11,"0.04911093740502883%","rl",15,"0.02748763056624519%","vascular",23,"0.05186303051994162%","consent",18,"0.02761289261492966%","","",""
"","","","","","","","","","out",2,"0.03286770747740345%","temporal",1,"0.05737234652897303%","","","","throughout",1,"0.02247191011235955%","","","","enzyme",1,"0.13550135501355012%","large",2,"0.11961722488038277%","location",4,"0.14235846154283385%","work",5,"0.028682080065403855%","tests",7,"0.05249579355461668%","very",11,"0.025582237589811815%","rh",15,"0.02748763056624519%","help",23,"0.04851560825516109%","disclosure",18,"0.01961425302386401%","","",""
"","","","","","","","","","investigation",2,"0.03286770747740345%","ordering",1,"0.05737234652897303%","","","","world",1,"0.02247191011235955%","","","","inhibitor",1,"0.13550135501355012%","match",2,"0.11961722488038277%","progressive",4,"0.13983573331821533%","control",5,"0.0668621517364583%","scans",7,"0.0769400198486737%","e",11,"0.036763177881484935%","education",15,"0.02478651712560575%","those",23,"0.04739836396273992%","than",17,"0.052625803457484924%","","",""
"","","","","","","","","","awareness",2,"0.03286770747740345%","rate",1,"0.05737234652897303%","","","","constraints",1,"0.02247191011235955%","","","","acei",1,"0.13550135501355012%","providing",2,"0.07561139372969834%","tool",4,"0.04293449248837032%","4",5,"0.05963495946298303%","inform",7,"0.047193814574973604%","collected",11,"0.05021482037737232%","complete",15,"0.03881776551629508%","out",23,"0.05029204508691226%","approach",17,"0.0336861075327977%","","",""
"","","","","","","","","","sad",2,"0.03286770747740345%","intraindividual",1,"0.05737234652897303%","","","","necessitate",1,"0.02247191011235955%","","","","uses",1,"0.13550135501355012%","should",2,"0.06819224758438991%","magnetic",4,"0.04999911394450469%","services",5,"0.02665362732575606%","stages",7,"0.029857579964927675%","following",11,"0.04300200404274041%","controls",14,"0.04336216952775432%","events",23,"0.03358007465720822%","experience",17,"0.041309342763830886%","","",""
"","","","","","","","","","vascular",2,"0.049007143640981854%","change",1,"0.05737234652897303%","","","","specialized",1,"0.02247191011235955%","","","","simple",1,"0.13550135501355012%","under",2,"0.06819224758438991%","least",4,"0.031102166285566703%","day",5,"0.22307651778590676%","provide",7,"0.02952275960731564%","neuropsychological",11,"0.043660740296456724%","goal",14,"0.08833010661287917%","additional",23,"0.04346426199154608%","most",17,"0.027668119144745682%","","",""
"","","","","","","","","","community",2,"0.03286770747740345%","cognitive",1,"0.05737234652897303%","","","","yet",1,"0.02247191011235955%","","","","validated",1,"0.13550135501355012%","phase",2,"0.24509803921568626%","place",4,"0.06669099347255705%","no",5,"0.057345066670197946%","n",7,"0.03560583172589029%","day",11,"0.025620631293911462%","standard",14,"0.03824418813944133%","important",23,"0.04915599255437066%","important",17,"0.02304885318827536%","","",""
"","","","","","","","","","ftd",2,"0.14976718707203504%","prior",1,"0.05737234652897303%","","","","cause",1,"0.02247191011235955%","","","","surrogate",1,"0.13550135501355012%","15-avp-786-301",2,"0.24509803921568626%","head",4,"0.03699519655474416%","in-person",5,"0.0523513149775776%","when",7,"0.043470531579821926%","development",11,"0.04041689950516895%","models",14,"0.04869474551249571%","novel",23,"0.039783680494313356%","information",17,"0.052582220070981234%","","",""
"","","","","","","","","","physical",2,"0.049007143640981854%","compare",1,"0.05737234652897303%","","","","would",1,"0.02247191011235955%","","","","marker",1,"0.13550135501355012%","15-avp-786-302",2,"0.24509803921568626%","several",4,"0.05775490444934761%","some",5,"0.04672464893156062%","time",7,"0.03820824726547297%","subject",11,"0.04449733471504927%","were",14,"0.04039108202873478%","among",23,"0.06232723018195657%","diseases",17,"0.08241184668432242%","","",""
"","","","","","","","","","examination",2,"0.03286770747740345%","neuropathological",1,"0.05737234652897303%","","","","normally",1,"0.02247191011235955%","","","","repurposing",1,"0.13550135501355012%","17-avp-786-305",2,"0.24509803921568626%","according",4,"0.06130788369438437%","moderate",5,"0.1251431002637811%","diabetes",7,"0.059053863233429794%","established",11,"0.07273052891515615%","type",14,"0.048742198637657316%","methods",23,"0.035618464214649315%","communication",17,"0.040495708708829424%","","",""
"","","","","","","","","","drinking",2,"0.03286770747740345%","phenotypes",1,"0.05737234652897303%","","","","standard",1,"0.02247191011235955%","","","","effort",1,"0.13550135501355012%","allows",2,"0.13093265475204166%","involved",4,"0.046324001998554395%","common",5,"0.039430060808423345%","living",7,"0.02564273975509536%","conducted",11,"0.05154843057234359%","acute",14,"0.05632219765408831%","controlled",23,"0.0667662941909744%","take",17,"0.042715835548405%","","",""
"","","","","","","","","","smoking",2,"0.03286770747740345%","adad",1,"0.05737234652897303%","","","","functional",1,"0.02247191011235955%","","","","recast",1,"0.13550135501355012%","12-avr-131",2,"0.24509803921568626%","moderate",4,"0.055362937882182994%","efficacy",5,"0.10254717778222859%","increase",7,"0.04283607782632249%","while",11,"0.047796304740537233%","approximately",14,"0.07538573105312556%","identify",23,"0.042040873299864244%","tolerability",17,"0.1612440755470602%","","",""
"","","","","","","","","","exercise",2,"0.03286770747740345%","load",1,"0.05737234652897303%","","","","used",1,"0.02247191011235955%","","","","antihypertensive",1,"0.13550135501355012%","included",2,"0.13093265475204166%","meeting",4,"0.020944994487441186%","cb2",5,"0.04402183483007572%","improves",7,"0.04543999974801929%","randomly",11,"0.04440580264475373%","increase",14,"0.049732317812043195%","cohort",23,"0.04507707262917305%","last",17,"0.02850053810688198%","","",""
"","","","","","","","","","role",2,"0.03286770747740345%","datasets",1,"0.05737234652897303%","","","","demonstrate",1,"0.02247191011235955%","","","","medication",1,"0.13550135501355012%","successfully",2,"0.13093265475204166%","treatments",4,"0.14211022879157167%","number",5,"0.02239594019061589%","association",7,"0.028300369518387946%","donepezil",11,"0.04853761481125979%","aims",14,"0.08829382777814257%","cholinergic",23,"0.028716837612035223%","objective",17,"0.10493940166336388%","","",""
"","","","","","","","","","especially",2,"0.03286770747740345%","adni",1,"0.05737234652897303%","","","","engaged",1,"0.02247191011235955%","","","","enhancer",1,"0.13550135501355012%","dose",2,"0.24509803921568626%","active",4,"0.0385777530947823%","include",5,"0.036438380318581626%","novel",7,"0.030736642737353288%","take",11,"0.024454632256156243%","tms",14,"0.02262443438914027%","arms",22,"0.05445491383072998%","prior",17,"0.05156654335805859%","","",""
"","","","","","","","","","development",2,"0.049007143640981854%","4",1,"0.05737234652897303%","","","","therapeutic",1,"0.02247191011235955%","","","","neuroprotective",1,"0.13550135501355012%","all",2,"0.13093265475204166%","sham",4,"0.03105590062111801%","levels",5,"0.08972369129048624%","less",7,"0.04426087196458827%","centers",11,"0.019935379443188867%","neural",14,"0.03332084862984832%","times",22,"0.04108194312655012%","online",17,"0.07746275559164892%","","",""
"","","","","","","","","","obtain",2,"0.049007143640981854%","utilize",1,"0.05737234652897303%","","","","set",1,"0.02247191011235955%","","","","agent",1,"0.13550135501355012%","amyloid",2,"0.09766934942991282%","duration",4,"0.027685598576559074%","cell",5,"0.042698368682367954%","was",7,"0.04690290166894373%","flow",11,"0.06573804979794502%","number",14,"0.03241680305901306%","researchers",22,"0.03698431305665702%","novel",17,"0.049547549850306405%","","",""
"","","","","","","","","","regular",2,"0.03286770747740345%","chip",1,"0.05737234652897303%","","","","measures",1,"0.02247191011235955%","","","","possibly",1,"0.13550135501355012%","protocol",2,"0.09766934942991282%","30",4,"0.02009742066750077%","underlying",5,"0.025117248847262418%","contribute",7,"0.0770736062614771%","current",11,"0.04481567187708092%","every",14,"0.06385587006647599%","assessed",22,"0.06545693957844625%","experimental",17,"0.03593203196301015%","","",""
"","","","","","","","","","important",2,"0.049007143640981854%","initiatives",1,"0.05737234652897303%","","","","earliest",1,"0.02247191011235955%","","","","drug",1,"0.13550135501355012%","11c",2,"0.17857142857142858%","side",4,"0.02431529653200013%","role",5,"0.07986914183444954%","developed",7,"0.028018808756513677%","screening",11,"0.04513958485211581%","positive",14,"0.05859097530495553%","fluid",22,"0.05823972646601794%","while",17,"0.03085266555177403%","","",""
"","","","","","","","","","urine",2,"0.14976718707203504%","funded",1,"0.05737234652897303%","","","","collected",1,"0.02247191011235955%","","","","choice",1,"0.13550135501355012%","acetoacetate",2,"0.17857142857142858%","total",4,"0.03000768888835494%","objective",5,"0.06709628671488954%","structural",7,"0.05774843324306298%","available",11,"0.03741712480630607%","epilepsy",14,"0.0895452714847997%","administered",22,"0.059782825615245234%","project",17,"0.03945507783319941%","","",""
"","","","","","","","","","18f-fdg",2,"0.03286770747740345%","independently",1,"0.05737234652897303%","","","","decide",1,"0.02247191011235955%","","","","result",1,"0.13550135501355012%","acac",2,"0.17857142857142858%","approximately",4,"0.04848802131563647%","designed",5,"0.06374179187199805%","long-term",7,"0.030991263883192375%","end",11,"0.035362802151669634%","common",14,"0.044995450123907633%","down",22,"0.0588558573362359%","performance",17,"0.037921104177462174%","","",""
"","","","","","","","","","pet",2,"0.03286770747740345%","grant",1,"0.05737234652897303%","","","","know",1,"0.02247191011235955%","","","","positive",1,"0.13550135501355012%","18f",2,"0.17857142857142858%","same",4,"0.12324071626800581%","groups",5,"0.09456654200605064%","treatments",7,"0.02724498692240628%","level",11,"0.017400786321525363%","application",14,"0.04563478646279529%","subject",22,"0.0394433598983271%","scan",17,"0.04735682276020571%","","",""
"","","","","","","","","","conduct",2,"0.03286770747740345%","but",1,"0.05737234652897303%","","","","disease-associated",1,"0.02247191011235955%","","","","larger",1,"0.13550135501355012%","fdg",2,"0.17857142857142858%","set",4,"0.02283000685724873%","b",5,"0.059269946441621646%","current",7,"0.04847338103571464%","prior",11,"0.03255008962733373%","important",14,"0.03711338690219763%","neurodegenerative",22,"0.048667922423997374%","our",17,"0.03208004004047024%","","",""
"","","","","","","","","","verify",2,"0.03286770747740345%","conducted",1,"0.05737234652897303%","","","","some",1,"0.02247191011235955%","","","","warranted",1,"0.13550135501355012%","18",2,"0.09766934942991282%","outcome",4,"0.04282892907763765%","approximately",5,"0.14218429423059709%","app",7,"0.03483777750386896%","music",11,"0.07279186868079764%","targeting",14,"0.027726449730929956%","persons",22,"0.0565780610902863%","video",17,"0.032048300763164304%","","",""
"","","","","","","","","","brain",2,"0.049007143640981854%","infrastructure",1,"0.05737234652897303%","","","","causing",1,"0.02247191011235955%","","","","potential",1,"0.13550135501355012%","glucose",2,"0.10508849557522124%","questionnaires",4,"0.018402273027619927%","apt",5,"0.14697236919459142%","aerobic",7,"0.06901918758930393%","in-person",11,"0.035876417120466166%","sample",14,"0.03189406057433825%","oral",22,"0.041081593145755324%","interviews",17,"0.021261608074805354%","","",""
"","","","","","","","","","aβ",2,"0.03286770747740345%","no",1,"0.05737234652897303%","","","","non-carrier",1,"0.02247191011235955%","","","","practice-changing",1,"0.13550135501355012%","those",2,"0.17857142857142858%","cognition",4,"0.04046459339649696%","webstudy",5,"0.14697236919459142%","icp",7,"0.03548256285482563%","person",11,"0.0463498349934089%","developed",13,"0.028541657182231624%","followed",22,"0.05285264103309108%","baricitinib",17,"0.016974707685548533%","","",""
"","","","","","","","","","biofluid",2,"0.03286770747740345%","cost",1,"0.05737234652897303%","","","","avoid",1,"0.02247191011235955%","","","","project",1,"0.2136752136752137%","without",2,"0.10508849557522124%","given",4,"0.03883311361130243%","every",5,"0.04298604706351902%","ltcfs",7,"0.025381822827078303%","americans",11,"0.03645563834028775%","fluid",13,"0.038491175355638015%","single",22,"0.09908278137162123%","neurodegenerative",16,"0.04243447656285958%","","",""
"","","","","","","","","","determine",2,"0.049007143640981854%","dermal",1,"0.05737234652897303%","","","","coercion",1,"0.02247191011235955%","","","","quantitative",1,"0.2136752136752137%","early",2,"0.09766934942991282%","next",4,"0.03194895433592952%","retinal",5,"0.11921793037672865%","learning",7,"0.09749630822929252%","course",11,"0.04367917172079047%","progression",13,"0.051176369759076044%","processing",22,"0.045463378833844575%","secondary",16,"0.044976688111701954%","","",""
"","","","","","","","","","according",2,"0.049007143640981854%","ipscs",1,"0.05737234652897303%","","","","potential",1,"0.02247191011235955%","","","","pilot",1,"0.2136752136752137%","currently",2,"0.01676727028839705%","trials",4,"0.06576402321083172%","longitudinal",5,"0.08757297748123435%","amnestic",6,"0.04299987502622924%","cortical",11,"0.033469017634940916%","loss",13,"0.04608688584128002%","includes",21,"0.038077489546041336%","known",16,"0.04248735639057107%","","",""
"","","","","","","","","","recent",2,"0.049007143640981854%","surrogates",1,"0.05737234652897303%","","","","pressured",1,"0.02247191011235955%","","","","characterization",1,"0.2136752136752137%","made",2,"0.01676727028839705%","important",4,"0.072352752432862%","establish",5,"0.06992709974361351%","cerebrospinal",6,"0.05256816825734559%","african",11,"0.032766375740966906%","stress",13,"0.052095212973135824%","current",21,"0.03680646018061741%","strategies",16,"0.04083960675858391%","","",""
"","","","","","","","","","standards",2,"0.03286770747740345%","neurogeneration",1,"0.05737234652897303%","","","","into",1,"0.02247191011235955%","","","","binding",1,"0.2136752136752137%","better",2,"0.01676727028839705%","specificity",4,"0.04613335149905008%","scd",5,"0.08696122036142097%","fluid",6,"0.05256816825734559%","asked",11,"0.05574540288459581%","state",13,"0.029719331413660486%","pathology",21,"0.04546357492759734%","common",16,"0.03577121450170438%","","",""
"","","","","","","","","","npt",2,"0.03286770747740345%","visinin-like",1,"0.05737234652897303%","","","","included",1,"0.02247191011235955%","","","","18f-av-1451",1,"0.2136752136752137%","lead",2,"0.024186416433705477%","activity",4,"0.08560659172725626%","subjective",5,"0.03402358714855839%","total",6,"0.03408184049309549%","name",11,"0.0092160493309986%","low",13,"0.04711373685411643%","were",21,"0.03331198547038869%","developed",16,"0.02162702349864666%","","",""
"","","","","","","","","","training",2,"0.049007143640981854%","protein-1",1,"0.05737234652897303%","","","","futility",1,"0.02247191011235955%","","","","known",1,"0.2136752136752137%","diagnosis",2,"0.07860835424532213%","obtained",4,"0.029216368146181552%","several",5,"0.04753934856977322%","university",6,"0.052298889549455246%","inhibition",11,"0.026520722328037226%","double-blind",13,"0.13419844539644676%","process",21,"0.018336997509740192%","questionnaires",16,"0.027856282979088435%","","",""
"","","","","","","","","","factor",2,"0.03286770747740345%","vilip-1",1,"0.05737234652897303%","","","","site",1,"0.02247191011235955%","","","","t807",1,"0.2136752136752137%","works",2,"0.01676727028839705%","characteristics",4,"0.049848218565266014%","education",5,"0.10827242463792493%","score",6,"0.05087376107600783%","surgery",11,"0.011711097862192318%","delivery",13,"0.03852508329045933%","significant",21,"0.04168147816948198%","fluid",16,"0.048335776681753546%","","",""
"","","","","","","","","","whether",2,"0.03286770747740345%","tau",1,"0.05737234652897303%","","","","individuals'",1,"0.02247191011235955%","","","","novel",1,"0.2136752136752137%","decreased",2,"0.01676727028839705%","spectrum",4,"0.05637165211633297%","6",5,"0.029893470832152363%","model",6,"0.08733522787841769%","prevent",10,"0.03835173059474231%","delivered",13,"0.022199608947072767%","while",21,"0.02922824968236166%","examine",16,"0.05924507971146675%","","",""
"","","","","","","","","","slowing",2,"0.06514657980456026%","seeding",1,"0.05737234652897303%","","","","assignment",1,"0.02247191011235955%","","","","compound",1,"0.2136752136752137%","compare",2,"0.024186416433705477%","normal",4,"0.049000644745325596%","cerebrospinal",5,"0.06027948851747351%","do",6,"0.04165118620416645%","impact",10,"0.04558830813915877%","healthy",13,"0.06470256258070912%","participate",21,"0.03528215032877561%","undergo",16,"0.03171593953516644%","","",""
"","","","","","","","","","more",2,"0.06514657980456026%","assay",1,"0.05737234652897303%","","","","thus",1,"0.02247191011235955%","","","","fibrils",1,"0.2136752136752137%","fundamental",2,"0.01676727028839705%","enrolled",4,"0.06748097717260712%","fluid",5,"0.06027948851747351%","measure",6,"0.04325808419997909%","family",10,"0.04189396765279793%","evidence",13,"0.04322534522259768%","50",21,"0.030864279931567387%","normal",16,"0.04224532806610348%","","",""
"","","","","","","","","","prevalent",2,"0.06514657980456026%","stable",1,"0.05737234652897303%","","","","except",1,"0.02247191011235955%","","","","goal",1,"0.2136752136752137%","long",2,"0.01676727028839705%","hmscs",4,"0.08810572687224669%","evaluated",5,"0.03710508472457872%","those",6,"0.0457064779919881%","scale",10,"0.06137802592576343%","persons",13,"0.07770011338244748%","exercise",21,"0.04635454165556478%","within",16,"0.0372145293416562%","","",""
"","","","","","","","","","predictors",2,"0.06514657980456026%","isotope",1,"0.05737234652897303%","","","","aware",1,"0.02247191011235955%","","","","develop",1,"0.2136752136752137%","stays",2,"0.01676727028839705%","due",4,"0.05114506201768363%","involved",5,"0.05524301439331396%","recruit",6,"0.037223958142423776%","cognitively",10,"0.10325753606269596%","strategies",13,"0.026071285158586248%","required",21,"0.023015772722857514%","adult",16,"0.04219288164269852%","","",""
"","","","","","","","","","reliable",2,"0.06514657980456026%","leucine",1,"0.05737234652897303%","","","","there",1,"0.02247191011235955%","","","","technique",1,"0.2136752136752137%","our",2,"0.01676727028839705%","microglial",4,"0.01757469244288225%","psychosocial",5,"0.016989466530750934%","samples",6,"0.050486476077347055%","designed",10,"0.0580155287704658%","focused",13,"0.018696698565199076%","pwd",21,"0.025719246698453636%","response",15,"0.030007427546758805%","","",""
"","","","","","","","","","easy",2,"0.06514657980456026%","kinetics",1,"0.05737234652897303%","","","","exceptional",1,"0.02247191011235955%","","","","antecedent",1,"0.2136752136752137%","given",2,"0.01676727028839705%","activation",4,"0.01757469244288225%","participant",5,"0.016989466530750934%","exablate",6,"0.11015139751552794%","proposed",10,"0.04293655574445634%","develop",13,"0.046390012795779936%","gps",21,"0.008984725965858042%","arm",15,"0.03979413136301481%","","",""
"","","","","","","","","","higher",2,"0.06514657980456026%","silk",1,"0.05737234652897303%","","","","circumstances",1,"0.02247191011235955%","","","","biomarker",1,"0.2136752136752137%","through",2,"0.024186416433705477%","sclerosis",4,"0.01757469244288225%","stool",5,"0.016989466530750934%","areas",6,"0.07464612146679481%","could",10,"0.03338774951810456%","nir",13,"0.02028397565922921%","our",20,"0.047375289986021876%","elderly",15,"0.021663744480791686%","","",""
"","","","","","","","","","mobility",2,"0.06514657980456026%","exact",1,"0.05737234652897303%","","","","when",1,"0.02247191011235955%","","","","propose",1,"0.2136752136752137%","done",2,"0.01676727028839705%","rrms",4,"0.01757469244288225%","included",5,"0.015154195171310737%","administered",6,"0.036964467234304264%","structure",10,"0.03218271153807888%","age",13,"0.04556878876560327%","collect",20,"0.03402059830652607%","loss",15,"0.01820634757741648%","","",""
"","","","","","","","","","proportion",2,"0.06514657980456026%","abeta",1,"0.05737234652897303%","","","","required",1,"0.02247191011235955%","","","","obtain",1,"0.2136752136752137%","tested",2,"0.01676727028839705%","compared",4,"0.03601206956047219%","follow",5,"0.016377709410937538%","once",6,"0.056766394101436544%","only",10,"0.04656237470275838%","following",13,"0.06197923038851809%","dementias",20,"0.04815465894829049%","increased",15,"0.025235834349500542%","","",""
"","","","","","","","","","aged",2,"0.06514657980456026%","species",1,"0.05737234652897303%","","","","local",1,"0.02247191011235955%","","","","preliminary",1,"0.2136752136752137%","optimal",2,"0.01676727028839705%","relationship",4,"0.02040221099759356%","g",5,"0.01454243805149734%","daily",6,"0.05937092657322566%","called",10,"0.06734957674286397%","prior",13,"0.06478994153310659%","management",20,"0.04334923631461119%","agitation",15,"0.08504821813613886%","","",""
"","","","","","","","","","increase",2,"0.06514657980456026%","pathology",1,"0.05737234652897303%","","","","regulation",1,"0.02247191011235955%","","","","support",1,"0.2136752136752137%","move",2,"0.01676727028839705%","atrophy",4,"0.02380114262824144%","ml",5,"0.013930680931683941%","mg",6,"0.19577245702033477%","many",10,"0.042807894690251085%","setting",13,"0.039625172402024726%","dosing",20,"0.03908683540510021%","safe",15,"0.026696914722145727%","","",""
"","","","","","","","","","2031",2,"0.06514657980456026%","mass",1,"0.05737234652897303%","","","","authorities",1,"0.02247191011235955%","","","","detecting",1,"0.2136752136752137%","burdensome",2,"0.01676727028839705%","pbr28",4,"0.01757469244288225%","investigate",4,"0.06311590097304345%","outcome",6,"0.04272977508199322%","correlation",10,"0.044336093021972604%","aβ",12,"0.04897697991958204%","end",20,"0.02993344928899623%","b",15,"0.06283393059104554%","","",""
"","","","","","","","","","dependency",2,"0.06514657980456026%","spectrometry",1,"0.05737234652897303%","","","","where",1,"0.02247191011235955%","","","","occurrence",1,"0.2136752136752137%","form",2,"0.14279223729473614%","current",4,"0.06206251679751418%","evidence",4,"0.07208720585104984%","microglia",6,"0.03498329156223893%","fluid",10,"0.0833375284860978%","detect",12,"0.039290064482752664%","same",20,"0.030769832503549054%","followed",15,"0.04708847097239954%","","",""
"","","","","","","","","","effects",2,"0.06514657980456026%","sequencing",1,"0.05737234652897303%","","","","restricted",1,"0.02247191011235955%","","","","reports",1,"0.06640106241699867%","found",2,"0.01676727028839705%","definition",4,"0.03310133805726129%","effectiveness",4,"0.15697768010720545%","researchers",6,"0.03498329156223893%","important",10,"0.030298614102440505%","establish",12,"0.04394485270902815%","approximately",20,"0.03967025541613632%","doses",15,"0.09934403219875412%","","",""
"","","","","","","","","","expectancy",2,"0.06514657980456026%","positive",1,"0.05737234652897303%","","","","only",1,"0.02247191011235955%","","","","oxidative",1,"0.06640106241699867%","certain",2,"0.024186416433705477%","neurological",4,"0.026063131167499504%","low",4,"0.0677167508185332%","load",6,"0.03100216744800215%","either",10,"0.03462135278093706%","multiple",12,"0.05053608814852037%","however",20,"0.030422053565400793%","thus",15,"0.03302303547852331%","","",""
"","","","","","","","","","two",2,"0.16590662323561345%","negative",1,"0.05737234652897303%","","","","but",1,"0.02247191011235955%","","","","parameters",1,"0.06640106241699867%","take",2,"0.01676727028839705%","8",4,"0.01757469244288225%","treat",4,"0.04314432708937274%","while",6,"0.030030145571792895%","year",10,"0.03612871983803804%","higher",12,"0.0416637781102413%","adult",20,"0.05809757660383137%","eligible",15,"0.04623007646991454%","","",""
"","","","","","","","","","syndromes",2,"0.06514657980456026%","eyo",1,"0.05737234652897303%","","","","mandates",1,"0.02247191011235955%","","","","help",1,"0.06640106241699867%","cerebral",2,"0.01676727028839705%","better",4,"0.1205948652612798%","subject",4,"0.032756326591531944%","reported",6,"0.04597802668542097%","magnetic",10,"0.041108479318009365%","than",12,"0.035310987371628445%","24",20,"0.03328037735978354%","diagnosed",15,"0.029296509799883408%","","",""
"","","","","","","","","","third",2,"0.06514657980456026%","crossover",1,"0.05737234652897303%","","","","thoroughly",1,"0.02247191011235955%","","","","diagnosis",1,"0.06640106241699867%","spinal",2,"0.01676727028839705%","being",4,"0.055479241437668206%","nor",4,"0.05192107995846314%","relationship",6,"0.03226118233350634%","recruited",10,"0.03328234875754749%","then",12,"0.020820243751647725%","draw",20,"0.026047003939401455%","interventions",15,"0.027654527447186262%","","",""
"","","","","","","","","","canadians",2,"0.06514657980456026%","18f",1,"0.05737234652897303%","","","","documented",1,"0.02247191011235955%","","","","monocentric",1,"0.06640106241699867%","different",2,"0.01676727028839705%","free",4,"0.01672711862294183%","long-term",4,"0.03509764357004659%","individual",6,"0.032592973215005455%","hospital",10,"0.026841206123275358%","influence",12,"0.027000861425070563%","app",20,"0.018086508715259325%","eeg",15,"0.08273180633253688%","","",""
