"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"","","","","","","criteria",1,"0.020703933747412008%","same",2,"0.02079002079002079%","low",8,"0.01864474329531409%","maximum",4,"0.013875494573411987%","1c",1,"0.02185792349726776%","","",""
"","","","","","","being",1,"0.020703933747412008%","pathological",2,"0.02642065142065142%","regarding",8,"0.02289702823500922%","evaluations",4,"0.022796352583586626%","delivery",1,"0.02185792349726776%","","",""
"","","","","","","met",1,"0.020703933747412008%","lesions",2,"0.02079002079002079%","did",8,"0.00700039868060834%","inventory",4,"0.02023456556620821%","reinforce",1,"0.02185792349726776%","","",""
"","","","","","","compilation",1,"0.020703933747412008%","deposits",2,"0.027117418421766248%","measure",8,"0.017121086797432555%","monitoring",4,"0.02586891170990502%","adapt",1,"0.02185792349726776%","","",""
"","","","","","","analysis",1,"0.020703933747412008%","case",2,"0.02079002079002079%","adverse",8,"0.029643565074661333%","delivery",4,"0.021834605166722598%","replacing",1,"0.02185792349726776%","","",""
"","","","","","","completed",1,"0.020703933747412008%","posterior",2,"0.02079002079002079%","overall",8,"0.0254000601878294%","partner",4,"0.03610603021087151%","prepared",1,"0.02185792349726776%","","",""
"","","","","","","after",1,"0.020703933747412008%","complex",2,"0.032134140829793004%","plasma",8,"0.033411839393153155%","pharmacokinetic",4,"0.1864941098390576%","revised",1,"0.02185792349726776%","","",""
"","","","","","","refers",1,"0.020703933747412008%","profile",2,"0.02079002079002079%","increases",8,"0.01752488627702357%","medication",4,"0.025750364113449237%","1a-1b",1,"0.02185792349726776%","","",""
"","","","","","","decrease",1,"0.020703933747412008%","rather",2,"0.02079002079002079%","protein",8,"0.029669615380315047%","80",4,"0.03279433841491225%","producing",1,"0.02185792349726776%","","",""
"","","","","","","think",1,"0.020703933747412008%","form",2,"0.02079002079002079%","enrolled",8,"0.03987808254228301%","versus",4,"0.1365453110313416%","mixed-methods",1,"0.02185792349726776%","","",""
"","","","","","","recall",1,"0.020703933747412008%","well",2,"0.032134140829793004%","gv1001",8,"0.013202845213143433%","multiple",4,"0.0983590568844025%","aloud",1,"0.02185792349726776%","","",""
"","","","","","","point",1,"0.020703933747412008%","severity",2,"0.02642065142065142%","procedure",8,"0.028662770196085745%","hz",4,"0.04626951995373048%","direct",1,"0.02185792349726776%","","",""
"","","","","","","ranging",1,"0.020703933747412008%","vulnerability",2,"0.02079002079002079%","thus",8,"0.032336096535644%","lighting",4,"0.04626951995373048%","observation",1,"0.02185792349726776%","","",""
"","","","","","","skills",1,"0.020703933747412008%","diffuse",2,"0.02079002079002079%","million",8,"0.018898820710983994%","culturally",4,"0.1034429038791089%","involves",1,"0.02185792349726776%","","",""
"","","","","","","lowering",1,"0.020703933747412008%","known",2,"0.027117418421766248%","wearable",8,"0.01718498791346076%","greater",4,"0.02319053777685459%","asking",1,"0.02185792349726776%","","",""
"","","","","","","motivation",1,"0.020703933747412008%","forms",2,"0.029406417239116855%","later",8,"0.027045966468957815%","general",4,"0.015934495771650906%","users",1,"0.02185792349726776%","","",""
"","","","","","","face",1,"0.020703933747412008%","optimize",2,"0.027117418421766248%","amci",8,"0.0283447941507289%","americans",4,"0.02835873803615739%","out",1,"0.02185792349726776%","","",""
"","","","","","","unchanged",1,"0.020703933747412008%","via",2,"0.02128825658237423%","onset",8,"0.04204026966440382%","five",4,"0.016622395336335426%","loud",1,"0.02185792349726776%","","",""
"","","","","","","consciousness",1,"0.020703933747412008%","hypotheses",2,"0.015445515445515446%","diagnostic",8,"0.022933453507047%","improvements",4,"0.028376374067274404%","performing",1,"0.02185792349726776%","","",""
"","","","","","","50-70",1,"0.020703933747412008%","reorganization",2,"0.02079002079002079%","setting",8,"0.01966607668889688%","generalization",4,"0.02835873803615739%","modified",1,"0.02185792349726776%","","",""
"","","","","","","cas",1,"0.020703933747412008%","load",2,"0.04743204743204743%","spousal",8,"0.027592867243817477%","ability",4,"0.06313240267157318%","cluster",1,"0.02185792349726776%","","",""
"","","","","","","es",1,"0.020703933747412008%","already",2,"0.027117418421766248%","cardiorespiratory",8,"0.004653760238272525%","benefits",4,"0.016902936399432567%","two-step",1,"0.02185792349726776%","","",""
"","","","","","","25",1,"0.020703933747412008%","essential",2,"0.02079002079002079%","populations",8,"0.005981275178036161%","60",4,"0.02267983331566493%","randomization",1,"0.02185792349726776%","","",""
"","","","","","","lewy",1,"0.020703933747412008%","pathophysiological",2,"0.04743204743204743%","recommendations",8,"0.01262569327480754%","cdf",4,"0.02835873803615739%","plus",1,"0.02185792349726776%","","",""
"","","","","","","15",1,"0.020703933747412008%","distribution",2,"0.02642065142065142%","pc4l",8,"0.007027468617960453%","enable",4,"0.01677104055391743%","characteristics",1,"0.07993605115907275%","","",""
"","","","","","","interrelated",1,"0.020703933747412008%","precise",2,"0.02128825658237423%","minutes",8,"0.00520953288508397%","larger",4,"0.017339168062193648%","summarized",1,"0.07993605115907275%","","",""
"","","","","","","mask",1,"0.020703933747412008%","term",2,"0.02642065142065142%","ang-",8,"0.004609277322931731%","developed",4,"0.022569734211434427%","descriptive",1,"0.07993605115907275%","","",""
"","","","","","","whose",1,"0.020703933747412008%","been",2,"0.015445515445515446%","1-7",8,"0.004609277322931731%","resident",4,"0.02320650037202173%","statistics",1,"0.07993605115907275%","","",""
"","","","","","","overlap",1,"0.020703933747412008%","algorithms",2,"0.17543859649122806%","attached",8,"0.004609277322931731%","evidence",4,"0.022982578203608998%","either",1,"0.07993605115907275%","","",""
"","","","","","","others",1,"0.020703933747412008%","patterns",2,"0.10374493927125505%","should",7,"0.014067445920109044%","reduction",4,"0.025788493072151888%","wilcoxon",1,"0.07993605115907275%","","",""
"","","","","","","lapses",1,"0.020703933747412008%","language",2,"0.14654282765737875%","recent",7,"0.01485301780834118%","providing",4,"0.021726366917365982%","signed-rank",1,"0.07993605115907275%","","",""
"","","","","","","visual-spatial",1,"0.020703933747412008%","normal",2,"0.10374493927125505%","involved",7,"0.007318925770179332%","set",4,"0.025931170811853487%","non-parametric",1,"0.07993605115907275%","","",""
"","","","","","","attention",1,"0.020703933747412008%","cn",2,"0.17543859649122806%","controls",7,"0.014819590866353162%","result",4,"0.023531548606175474%","paired",1,"0.07993605115907275%","","",""
"","","","","","","problem",1,"0.020703933747412008%","neurological",2,"0.07246376811594203%","collection",7,"0.017517049288866042%","between",4,"0.022306512063478598%","t-test",1,"0.07993605115907275%","","",""
"","","","","","","solving",1,"0.020703933747412008%","accompany",2,"0.07246376811594203%","laboratory",7,"0.03998303633603455%","triads",4,"0.042328042328042326%","parametric",1,"0.07993605115907275%","","",""
"","","","","","","difficulty",1,"0.020703933747412008%","represent",2,"0.07246376811594203%","24",7,"0.03075911404138561%","different",4,"0.021457436408542942%","performed",1,"0.07993605115907275%","","",""
"","","","","","","swallowing",1,"0.020703933747412008%","public",2,"0.07246376811594203%","initial",7,"0.017864645746074263%","next",4,"0.015102904648886547%","hypothesis",1,"0.07993605115907275%","","",""
"","","","","","","hallucinations",1,"0.020703933747412008%","priority",2,"0.07246376811594203%","obtained",7,"0.019964971115165656%","paradigm",4,"0.02517306482064191%","would",1,"0.07993605115907275%","","",""
"","","","","","","wandering",1,"0.020703933747412008%","assumption",2,"0.07246376811594203%","risks",7,"0.041143814790186556%","ses",4,"0.021951995236065152%","because",1,"0.07993605115907275%","","",""
"","","","","","","restlessness",1,"0.020703933747412008%","cavity",2,"0.07246376811594203%","clinician",7,"0.008995810731213479%","2017",4,"0.018520696406913076%","nature",1,"0.07993605115907275%","","",""
"","","","","","","swings",1,"0.020703933747412008%","represents",2,"0.07246376811594203%","followed",7,"0.0408494044005343%","higher",4,"0.019488579557099317%","no",1,"0.07993605115907275%","","",""
"","","","","","","usually",1,"0.020703933747412008%","privileged",2,"0.07246376811594203%","depression",7,"0.014109529705415675%","oxygenation",4,"0.016420361247947452%","adjustment",1,"0.07993605115907275%","","",""
"","","","","","","fashion",1,"0.020703933747412008%","space",2,"0.07246376811594203%","appropriate",7,"0.021926059500476998%","due",4,"0.017903703991087407%","values",1,"0.07993605115907275%","","",""
"","","","","","","signs",1,"0.020703933747412008%","issues",2,"0.07246376811594203%","techniques",7,"0.02038694058659316%","university",4,"0.012507777337687851%","conducted",1,"0.07993605115907275%","","",""
"","","","","","","rigidity",1,"0.020703933747412008%","mouth",2,"0.07246376811594203%","fluid",7,"0.016729749372097466%","alpha",4,"0.011152531465782434%","multiple",1,"0.07993605115907275%","","",""
"","","","","","","slow",1,"0.020703933747412008%","easy",2,"0.07246376811594203%","doses",7,"0.050614442997958774%","version",4,"0.012724272420725801%","comparisons",1,"0.07993605115907275%","","",""
"","","","","","","walking",1,"0.020703933747412008%","painless",2,"0.07246376811594203%","ratio",7,"0.03205726114777902%","collect",4,"0.027386516550775626%","set",1,"0.07993605115907275%","","",""
"","","","","","","thinking",1,"0.020703933747412008%","sampling",2,"0.07246376811594203%","b",7,"0.030899038376854517%","allow",4,"0.01372788586739295%","05",1,"0.07993605115907275%","","",""
"","","","","","","plus",1,"0.020703933747412008%","identifying",2,"0.07246376811594203%","individual",7,"0.016532307770840464%","serve",4,"0.01329239992900202%","derived",1,"0.07993605115907275%","","",""
"","","","","","","states",1,"0.020703933747412008%","infectious",2,"0.07246376811594203%","masitinib",7,"0.03938115330520394%","collection",4,"0.011474883646284706%","form",1,"0.07993605115907275%","","",""
"","","","","","","living",1,"0.020703933747412008%","mapping",2,"0.07246376811594203%","relevant",7,"0.016824590425317955%","quizzes",4,"0.01228878648233487%","basis",1,"0.07993605115907275%","","",""
"","","","","","","predisposition",1,"0.020703933747412008%","microbial",2,"0.07246376811594203%","present",7,"0.02103823106135654%","involved",4,"0.011067932228259624%","determining",1,"0.07993605115907275%","","",""
"","","","","","","environmental",1,"0.020703933747412008%","flora",2,"0.07246376811594203%","markers",7,"0.02100596530307086%","post-intervention",4,"0.03829031183869894%","power",1,"0.07993605115907275%","","",""
"","","","","","","factors",1,"0.020703933747412008%","demented",2,"0.07246376811594203%","disturbances",7,"0.022357561765252235%","answer",4,"0.016323910401907515%","required",1,"0.07993605115907275%","","",""
"","","","","","","history",1,"0.020703933747412008%","understanding",2,"0.07246376811594203%","score",7,"0.02670478360933854%","ensure",4,"0.012156144912449585%","subsequent",1,"0.07993605115907275%","","",""
"","","","","","","head",1,"0.020703933747412008%","even",2,"0.07246376811594203%","equal",7,"0.02251893381021071%","star-vtf",4,"0.04362050163576881%","explored",1,"0.07993605115907275%","","",""
"","","","","","","injuries",1,"0.020703933747412008%","probably",2,"0.07246376811594203%","20",7,"0.02772461827299178%","adapt",4,"0.06177029077792437%","zoom",1,"0.07993605115907275%","","",""
"","","","","","","exposures",1,"0.020703933747412008%","relationship",2,"0.07783493625587116%","clinically",7,"0.031711640586744375%","perceived",4,"0.020121715270693355%","interpretative",1,"0.07993605115907275%","","",""
"","","","","","","smokers",1,"0.020703933747412008%","decrease",2,"0.09728506787330318%","under",7,"0.033100044324102795%","interviews",4,"0.04486246741848811%","phenomenological",1,"0.07993605115907275%","","",""
"","","","","","","caffeine",1,"0.020703933747412008%","information",2,"0.06811720970916248%","despite",7,"0.025027653564048284%","osmi",4,"0.01228878648233487%","used",1,"0.07993605115907275%","","",""
"","","","","","","intake",1,"0.020703933747412008%","recorded",2,"0.11764705882352941%","others",7,"0.01963955304679834%","cessation",4,"0.01228878648233487%","analyze",1,"0.07993605115907275%","","",""
"","","","","","","result",1,"0.020703933747412008%","moca",2,"0.11764705882352941%","intensity",7,"0.019130737134434306%","uw-health",4,"0.01228878648233487%","interview",1,"0.07993605115907275%","","",""
"","","","","","","midbrain",1,"0.020703933747412008%","global",2,"0.08056265984654731%","least",7,"0.011602758247697%","cancer",4,"0.011881835064309787%","data",1,"0.07993605115907275%","","",""
"","","","","","","inadequate",1,"0.020703933747412008%","score",2,"0.06387403446226976%","magnetic",7,"0.02157969175110994%","etc",4,"0.012885448510976937%","","","","","",""
"","","","","","","build",1,"0.020703933747412008%","attention",2,"0.06387403446226976%","randomization",7,"0.024651376042358616%","seen",4,"0.014176648402823162%","","","","","",""
"","","","","","","following",1,"0.020703933747412008%","hz",2,"0.07407407407407407%","sites",7,"0.020542179866465796%","education",4,"0.08603542765033449%","","","","","",""
"","","","","","","neuroimaging",1,"0.020703933747412008%","multi-sensory",2,"0.07407407407407407%","selected",7,"0.022493824236702313%","inappropriate",4,"0.014057283429977157%","","","","","",""
"","","","","","","track",1,"0.020703933747412008%","auditory",2,"0.07407407407407407%","movement",7,"0.04990368606336247%","insulin",4,"0.014057283429977157%","","","","","",""
"","","","","","","conventional",1,"0.020703933747412008%","reduce",2,"0.07407407407407407%","profile",7,"0.020659168024711783%","adverse",4,"0.030435663627152984%","","","","","",""
"","","","","","","l-dopa",1,"0.020703933747412008%","size",2,"0.0463307173344348%","approach",7,"0.02616127460535667%","involving",4,"0.016303240269003465%","","","","","",""
"","","","","","","agonists",1,"0.020703933747412008%","objectives",2,"0.05375944506379289%","15",7,"0.027444920578252218%","approach",4,"0.02334918852355948%","","","","","",""
"","","","","","","proved",1,"0.020703933747412008%","slow",2,"0.07407407407407407%","observational",7,"0.094175991643564%","routine",4,"0.010660980810234541%","","","","","",""
"","","","","","","non-traditional",1,"0.020703933747412008%","down",2,"0.07407407407407407%","available",7,"0.011474130405301652%","systmone",4,"0.010660980810234541%","","","","","",""
"","","","","","","methods",1,"0.020703933747412008%","worsening",2,"0.07407407407407407%","beta",7,"0.02476808323922613%","willows",4,"0.010660980810234541%","","","","","",""
"","","","","","","gaining",1,"0.020703933747412008%","physical",2,"0.07692307692307693%","ability",7,"0.013461580601544773%","sets",4,"0.010660980810234541%","","","","","",""
"","","","","","","popularity",1,"0.020703933747412008%","mpep",2,"0.07692307692307693%","dementias",7,"0.017208989115561128%","surgery",4,"0.04171011470281543%","","","","","",""
"","","","","","","unknown",1,"0.020703933747412008%","medi",2,"0.07692307692307693%","when",7,"0.02119385680963469%","cause",3,"0.02878065535211266%","","","","","",""
"","","","","","","variants",1,"0.020703933747412008%","bone",2,"0.07692307692307693%","severity",7,"0.015294812213730073%","65",3,"0.024488574960582748%","","","","","",""
"","","","","","","encephalomyelitis",1,"0.020703933747412008%","allocated",2,"0.06020066889632107%","consist",7,"0.03941111120608188%","identification",3,"0.020646453209351316%","","","","","",""
"","","","","","","cerebral",1,"0.020703933747412008%","during",2,"0.07692307692307693%","metabolic",7,"0.012169904409426984%","gap43",3,"0.026292725679228746%","","","","","",""
"","","","","","","schilder",1,"0.020703933747412008%","approximately",2,"0.05747294530564493%","benefits",7,"0.006891144968211239%","neurogranin",3,"0.026292725679228746%","","","","","",""
"","","","","","","idiopathic",1,"0.020703933747412008%","month",2,"0.0493547846489023%","enhance",7,"0.013828817271647741%","snap25",3,"0.026292725679228746%","","","","","",""
"","","","","","","sheath",1,"0.020703933747412008%","neurostem",2,"0.47619047619047616%","highlighted",7,"0.024460633593843022%","observed",3,"0.01907471225440795%","","","","","",""
"","","","","","","damaged",1,"0.020703933747412008%","volumetric",2,"0.032051282051282055%","executive",7,"0.007879732504236538%","promising",3,"0.017935188334749032%","","","","","",""
"","","","","","","reducing",1,"0.020703933747412008%","evaluation",2,"0.03685897435897436%","particular",7,"0.017536245843177613%","previously",3,"0.0236603276511398%","","","","","",""
"","","","","","","conduction",1,"0.020703933747412008%","types",2,"0.03503704786974749%","mice",7,"0.013341773742927875%","aging",3,"0.029112405489415023%","","","","","",""
"","","","","","","signals",1,"0.020703933747412008%","its",2,"0.02691888721300486%","affected",7,"0.01209263832514979%","plasticity",3,"0.033184266313100674%","","","","","",""
"","","","","","","dependent",1,"0.020703933747412008%","world",2,"0.03776477146042363%","energy",7,"0.004635861160433015%","structural",3,"0.032962566265246476%","","","","","",""
"","","","","","","actual",1,"0.020703933747412008%","potentially",2,"0.032051282051282055%","size",7,"0.007373863333397766%","confirm",3,"0.026040110232774378%","","","","","",""
"","","","","","","location",1,"0.020703933747412008%","loss",2,"0.032051282051282055%","piromelatine",7,"0.034477663399497614%","clusters",3,"0.0234192037470726%","","","","","",""
"","","","","","","strong",1,"0.020703933747412008%","imaging",2,"0.03685897435897436%","suffering",7,"0.021125758523743706%","comprised",3,"0.019127123355542692%","","","","","",""
"","","","","","","infectious",1,"0.020703933747412008%","subtle",2,"0.032051282051282055%","further",7,"0.013629623083423786%","relative",3,"0.019717892810035265%","","","","","",""
"","","","","","","evolution",1,"0.020703933747412008%","scales",2,"0.032051282051282055%","suggests",7,"0.014909834173944902%","needs",3,"0.018278047700607036%","","","","","",""
"","","","","","","appears",1,"0.020703933747412008%","volumes",2,"0.032051282051282055%","prevent",7,"0.015174710784854623%","preclinical",3,"0.022003406298219907%","","","","","",""
"","","","","","","t-cells",1,"0.020703933747412008%","populations",2,"0.032051282051282055%","monitor",7,"0.022512106796658507%","modifiable",3,"0.02270248700708775%","","","","","",""
"","","","","","","macrophages",1,"0.020703933747412008%","help",2,"0.03503704786974749%","proposal",7,"0.03015828238508258%","suggest",3,"0.025323614433767405%","","","","","",""
"","","","","","","mast",1,"0.020703933747412008%","findings",2,"0.03503704786974749%","common",7,"0.009057816195227256%","traditional",3,"0.015425812418505354%","","","","","",""
"","","","","","","present",1,"0.020703933747412008%","accuracy",2,"0.03685897435897436%","aspects",7,"0.010176338130765168%","although",3,"0.018278047700607036%","","","","","",""
"","","","","","","characteristically",1,"0.020703933747412008%","related",2,"0.018587360594795536%","experience",7,"0.023710263372597164%","need",3,"0.019977778943311285%","","","","","",""
"","","","","","","ventricles",1,"0.020703933747412008%","resting",2,"0.018587360594795536%","identified",7,"0.012589975830520858%","behaviors",3,"0.03697343998720833%","","","","","",""
"","","","","","","scattered",1,"0.020703933747412008%","fasting",2,"0.018587360594795536%","large",7,"0.013142383918306992%","stress",3,"0.05899624185338471%","","","","","",""
"","","","","","","typically",1,"0.020703933747412008%","glucose",2,"0.018587360594795536%","tspo",7,"0.01782848992690319%","mental",3,"0.038545180942151695%","","","","","",""
"","","","","","","little",1,"0.020703933747412008%","lipids",2,"0.018587360594795536%","critical",7,"0.01665735275158943%","term",3,"0.08804170294853524%","","","","","",""
"","","","","","","advantage",1,"0.020703933747412008%","waist",2,"0.018587360594795536%","his",7,"0.013882653563550205%","beliefs",3,"0.03754156749548455%","","","","","",""
"","","","","","","reversing",1,"0.020703933747412008%","hip",2,"0.018587360594795536%","25",7,"0.023773673700599074%","ii",3,"0.014928773145249919%","","","","","",""
"","","","","","","completely",1,"0.020703933747412008%","circumferences",2,"0.018587360594795536%","remain",7,"0.017554556339033335%","sls-005",3,"0.029761904761904764%","","","","","",""
"","","","","","","stopping",1,"0.020703933747412008%","height",2,"0.018587360594795536%","monitoring",7,"0.0167036861185952%","very",3,"0.015496900653526139%","","","","","",""
"","","","","","","drug",1,"0.020703933747412008%","weight",2,"0.018587360594795536%","severe",7,"0.027851279728559282%","cdr",3,"0.029761904761904764%","","","","","",""
"","","","","","","effectiveness",1,"0.020703933747412008%","receiving",2,"0.018587360594795536%","14",7,"0.015886650592169326%","national",3,"0.020289711193046265%","","","","","",""
"","","","","","","led",1,"0.020703933747412008%","third",2,"0.014344185347902818%","nerve",7,"0.028217229907574515%","ratio",3,"0.019062301117571703%","","","","","",""
"","","","","","","researchers",1,"0.020703933747412008%","scale",2,"0.020186926484761603%","systems",7,"0.01280617192416132%","9",3,"0.01749056016262834%","","","","","",""
"","","","","","","immunomodulation",1,"0.020703933747412008%","providing",2,"0.018587360594795536%","schedule",7,"0.007943436758319522%","once",3,"0.0295333438960733%","","","","","",""
"","","","","","","able",1,"0.020703933747412008%","unique",2,"0.02830508714150423%","automated",7,"0.016574281743726244%","randomization",3,"0.02490712597095576%","","","","","",""
"","","","","","","actually",1,"0.020703933747412008%","hard",2,"0.020186926484761603%","implementation",7,"0.04335819416773783%","stratified",3,"0.029761904761904764%","","","","","",""
"","","","","","","reverse",1,"0.020703933747412008%","participating",2,"0.018587360594795536%","icg",7,"0.04789599726308587%","enrolled",3,"0.04574811183947191%","","","","","",""
"","","","","","","visible",1,"0.020703933747412008%","programs",2,"0.018587360594795536%","detect",7,"0.03045795017219836%","described",3,"0.017068641608469503%","","","","","",""
"","","","","","","lesions",1,"0.020703933747412008%","strain",2,"0.014344185347902818%","hospital",7,"0.029930205668086036%","performance",3,"0.02923796767080349%","","","","","",""
"","","","","","","lifestyle",1,"0.020703933747412008%","several",2,"0.014344185347902818%","developing",7,"0.0148204010270749%","scheduled",3,"0.039199566110853526%","","","","","",""
"","","","","","","rest",1,"0.020703933747412008%","signature",2,"0.02178649237472767%","evaluation",7,"0.014978050380665435%","times",3,"0.014928773145249919%","","","","","",""
"","","","","","","periods",1,"0.020703933747412008%","about",2,"0.015943751237868887%","recruit",7,"0.02880394286985986%","throughout",3,"0.025338457924026843%","","","","","",""
"","","","","","","rehabilitations",1,"0.020703933747412008%","bracelet",2,"0.02178649237472767%","families",7,"0.00925457726045813%","protocol",3,"0.04119370967197054%","","","","","",""
"","","","","","","diet",1,"0.020703933747412008%","worn",2,"0.02178649237472767%","eeg",7,"0.02479803655985807%","schedule",3,"0.025158730158730158%","","","","","",""
"","","","","","","hyper-vitamin",1,"0.020703933747412008%","pool",2,"0.02178649237472767%","european",7,"0.009490010746170762%","background",3,"0.017879572249393644%","","","","","",""
"","","","","","","number",1,"0.020703933747412008%","metrics",2,"0.02178649237472767%","in-person",7,"0.029204917893440048%","major",3,"0.03214811212272336%","","","","","",""
"","","","","","","antioxidant",1,"0.020703933747412008%","daytime",2,"0.02178649237472767%","sessions",7,"0.03961514445559399%","problem",3,"0.025712501037752133%","","","","","",""
"","","","","","","phases",1,"0.020703933747412008%","emotional",2,"0.02178649237472767%","negative",7,"0.013756037683162473%","obtained",3,"0.027926290889434175%","","","","","",""
"","","","","","","innate",1,"0.020703933747412008%","arousal",2,"0.02178649237472767%","nd",7,"0.004072040208488459%","non-invasive",3,"0.019503235395289364%","","","","","",""
"","","","","","","immune",1,"0.020703933747412008%","perception",2,"0.02178649237472767%","approaches",7,"0.01678656970235545%","impaired",3,"0.025490059820511352%","","","","","",""
"","","","","","","mesenchymal",1,"0.020703933747412008%","psychological",2,"0.02178649237472767%","muscle",7,"0.010179271860210058%","networks",3,"0.027481920354058356%","","","","","",""
"","","","","","","pericytic",1,"0.020703933747412008%","lay",2,"0.015943751237868887%","caregiving",7,"0.035964681533744686%","current",3,"0.017437448012483075%","","","","","",""
"","","","","","","endothelial",1,"0.020703933747412008%","patients'",2,"0.02178649237472767%","disparities",7,"0.014897873634271839%","specifically",3,"0.03214811212272336%","","","","","",""
"","","","","","","sensorimotor",1,"0.020703933747412008%","caregivers'",2,"0.02178649237472767%","rates",7,"0.013875721069313224%","six",3,"0.023820444578787396%","","","","","",""
"","","","","","","afferent",1,"0.020703933747412008%","consequences",2,"0.029904653031470295%","latinos",7,"0.016942178764189075%","experimental",3,"0.026951783802220314%","","","","","",""
"","","","","","","efferent",1,"0.020703933747412008%","still",2,"0.015943751237868887%","ehr",7,"0.008234906592630934%","expect",3,"0.024702249292565343%","","","","","",""
"","","","","","","communications",1,"0.020703933747412008%","define",2,"0.02178649237472767%","vcid",7,"0.0040331176575652645%","tai",3,"0.03775959723096287%","","","","","",""
"","","","","","","development",1,"0.020703933747412008%","protocol",2,"0.02178649237472767%","importance",6,"0.02560331746736416%","conditions",3,"0.026819157601312208%","","","","","",""
"","","","","","","degradation",1,"0.020703933747412008%","60",2,"0.029904653031470295%","treatments",6,"0.02304053721577217%","size",3,"0.017755846725187093%","","","","","",""
"","","","","","","either",1,"0.020703933747412008%","aged",2,"0.015943751237868887%","affects",6,"0.022680521223242496%","limitations",3,"0.02234146212191894%","","","","","",""
"","","","","","","hypertrophic",1,"0.020703933747412008%","recruited",2,"0.03263237662214644%","action",6,"0.01638186285507184%","needed",3,"0.021951995236065152%","","","","","",""
"","","","","","","demyelinated",1,"0.020703933747412008%","passive",2,"0.02178649237472767%","pharmacokinetics",6,"0.08980726079851711%","leading",3,"0.025457267994581423%","","","","","",""
"","","","","","","hypertrophy",1,"0.020703933747412008%","active",2,"0.02178649237472767%","genetic",6,"0.00644623237517683%","disability",3,"0.02529609190433029%","","","","","",""
"","","","","","","featured",1,"0.020703933747412008%","questionnaires",2,"0.02178649237472767%","receiving",6,"0.01631891593960368%","prevention",3,"0.027492221040608136%","","","","","",""
"","","","","","","stiffness",1,"0.020703933747412008%","model",2,"0.02178649237472767%","follow",6,"0.008428849597142787%","previous",3,"0.021803765831359057%","","","","","",""
"","","","","","","rather",1,"0.020703933747412008%","behaviour",2,"0.03263237662214644%","18",6,"0.03242758855897007%","moreover",3,"0.026389381228090907%","","","","","",""
"","","","","","","whereas",1,"0.020703933747412008%","likely",2,"0.04166666666666667%","must",6,"0.017295923151313192%","remains",3,"0.024737402017483964%","","","","","",""
"","","","","","","axons",1,"0.020703933747412008%","adult",2,"0.04166666666666667%","validated",6,"0.015407216859714986%","shown",3,"0.0191447812093493%","","","","","",""
"","","","","","","bodies",1,"0.020703933747412008%","evaluated",2,"0.04166666666666667%","method",6,"0.01700585125036126%","claims",3,"0.016041710664966048%","","","","","",""
"","","","","","","experience",1,"0.020703933747412008%","causes",2,"0.04166666666666667%","review",6,"0.014209864637000413%","large",3,"0.014182383264843602%","","","","","",""
"","","","","","","muscle",1,"0.020703933747412008%","decline",2,"0.04166666666666667%","inhibitor",6,"0.04369607836114036%","decrease",3,"0.020146437426519375%","","","","","",""
"","","","","","","extremities",1,"0.020703933747412008%","adjunct",2,"0.04166666666666667%","learning",6,"0.026203725859125514%","recommended",3,"0.025115822408994282%","","","","","",""
"","","","","","","hereditary",1,"0.020703933747412008%","indicated",2,"0.04166666666666667%","linked",6,"0.011019639707325835%","meet",3,"0.029717002697389472%","","","","","",""
"","","","","","","commonly",1,"0.020703933747412008%","mhrc",2,"0.04166666666666667%","kg",6,"0.06958605781096214%","interval",3,"0.0321478289268427%","","","","","",""
"","","","","","","referred",1,"0.020703933747412008%","generated",2,"0.039844740177439796%","jdome",6,"0.028660138524002864%","history",3,"0.022131228211941797%","","","","","",""
"","","","","","","charcot-marie-tooth",1,"0.020703933747412008%","independent",2,"0.025883838383838387%","tablet",6,"0.042443450813419166%","responses",3,"0.030823319767861873%","","","","","",""
"","","","","","","phenotypically",1,"0.020703933747412008%","existing",2,"0.035733814870862315%","c",6,"0.013471042837914247%","56",3,"0.015197568389057751%","","","","","",""
"","","","","","","less",1,"0.020703933747412008%","post-translational",2,"0.033444816053511704%","ftd",6,"0.03711517424597593%","aβ",3,"0.017221396768411182%","","","","","",""
"","","","","","","frequently",1,"0.020703933747412008%","laboratory",2,"0.033444816053511704%","variability",6,"0.031068526812524137%","human",3,"0.016830282405947916%","","","","","",""
"","","","","","","usual",1,"0.020703933747412008%","science",2,"0.021772913077260904%","index",6,"0.01502485386851364%","therapeutic",3,"0.03928313585594767%","","","","","",""
"","","","","","","childhood",1,"0.020703933747412008%","meet",2,"0.021772913077260904%","resonance",6,"0.020185613794270595%","significant",3,"0.020263424518743668%","","","","","",""
"","","","","","","adulthood",1,"0.020703933747412008%","criteria",2,"0.021772913077260904%","arms",6,"0.01448419918060213%","24",3,"0.01893214386088621%","","","","","",""
"","","","","","","involvement",1,"0.020703933747412008%","complete",2,"0.021772913077260904%","accessible",6,"0.013179586261702899%","consist",3,"0.011084246099487707%","","","","","",""
"","","","","","","mistaken",1,"0.020703933747412008%","sample",2,"0.03846153846153846%","scan",6,"0.02065041995882386%","14",3,"0.013646033116866123%","","","","","",""
