"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"above",1,"0.06793478260869565%","innervating",2,"0.03075030750307503%","","","","","","","neurosurgical",2,"0.013130252100840336%","anatomical",1,"0.027824151363383415%","symptoms",1,"0.045641259698767686%","post",3,"0.026954177897574125%","genetic",4,"0.04450410700410701%","method",4,"0.030550966029802878%","being",2,"0.03398822276557526%","military",4,"0.025025025025025027%","when",2,"0.050631211388665054%"
"lumbar",1,"0.06793478260869565%","parts",2,"0.03075030750307503%","","","","","","","location",2,"0.013130252100840336%","quantitative",1,"0.027824151363383415%","can",1,"0.045641259698767686%","anxiety",3,"0.026954177897574125%","like",4,"0.03956208136272445%","electroencephalogram",4,"0.06309654260868378%","delivery",2,"0.04195510803440319%","programs",4,"0.025025025025025027%","involved",2,"0.0228310502283105%"
"puncture",1,"0.06793478260869565%","outer",2,"0.03075030750307503%","","","","","","","but",2,"0.10499032290081388%","coregistration",1,"0.027824151363383415%","detected",1,"0.045641259698767686%","bdnf",3,"0.03295404523719074%","depression",4,"0.0283442900201142%","improves",4,"0.038587015928980894%","techniques",2,"0.04195510803440319%","impacts",4,"0.025025025025025027%","under",2,"0.0228310502283105%"
"examined",1,"0.06793478260869565%","meatus",2,"0.03075030750307503%","","","","","","","leave",2,"0.013130252100840336%","blood-oxygen-level",1,"0.027824151363383415%","series",1,"0.045641259698767686%","critically",3,"0.03346371905288125%","progressive",4,"0.05133107286383036%","arms",4,"0.02523016237813062%","blood-brain",2,"0.04195510803440319%","qol",4,"0.025025025025025027%","necessary",2,"0.0228310502283105%"
"population",1,"0.06793478260869565%","acoustics",2,"0.03075030750307503%","","","","","","","device",2,"0.013130252100840336%","dependent",1,"0.027824151363383415%","markers",1,"0.045641259698767686%","elderly",3,"0.04057343023189692%","treatments",4,"0.05455356915610533%","magnetic",4,"0.0723787269527493%","barrier",2,"0.04195510803440319%","bvftd",4,"0.049714143673875215%","fatigue",2,"0.050631211388665054%"
"followed-up",1,"0.06793478260869565%","tragus",2,"0.03075030750307503%","","","","","","","off",2,"0.013130252100840336%","bold",1,"0.027824151363383415%","indicate",1,"0.045641259698767686%","changes",3,"0.03295404523719074%","approved",4,"0.06553316041401569%","resonance",4,"0.0723787269527493%","bbb",2,"0.04195510803440319%","battery",4,"0.06186771198352835%","paper",2,"0.0228310502283105%"
"determine",1,"0.06793478260869565%","cutaneous",2,"0.03075030750307503%","","","","","","","home",2,"0.04071813151490104%","challenge",1,"0.027824151363383415%","presence",1,"0.045641259698767686%","elevated",3,"0.026954177897574125%","medication",4,"0.061366084080858516%","explore",4,"0.06136099261099261%","into",2,"0.06676509980474739%","frontal",4,"0.049714143673875215%","moderate",2,"0.050631211388665054%"
"analyses",1,"0.06793478260869565%","gain",2,"0.03075030750307503%","","","","","","","follow-up",2,"0.04071813151490104%","obtained",1,"0.027824151363383415%","aβ",1,"0.045641259698767686%","inflammation",3,"0.03997326020818838%","generic",4,"0.027157837612909966%","systemic",4,"0.034340659340659344%","ii",2,"0.08202761506726265%","cortical",4,"0.049714143673875215%","containing",2,"0.0228310502283105%"
"sampling",1,"0.06793478260869565%","access",2,"0.03075030750307503%","","","","","","","scanner",2,"0.013130252100840336%","rests",1,"0.027824151363383415%","variety",1,"0.045641259698767686%","neurotrophic",3,"0.03295404523719074%","being",4,"0.026168620430526496%","pet",4,"0.08628772021629164%","decades",2,"0.04033489044770876%","treated",4,"0.18993352326685659%","nature",2,"0.0228310502283105%"
"novel",1,"0.06793478260869565%","really",2,"0.03075030750307503%","","","","","","","minutes",2,"0.013130252100840336%","medical-grade",1,"0.027824151363383415%","inflammation",1,"0.045641259698767686%","past",3,"0.03646365272268955%","seizures",4,"0.027037988373665%","secondary",4,"0.08182884018548929%","applications",2,"0.03405970995650039%","medications",4,"0.18993352326685659%","participate",2,"0.05282339260897927%"
"better",1,"0.06793478260869565%","spectroscopy",2,"0.03075030750307503%","","","","","","","ml",2,"0.013130252100840336%","air",1,"0.027824151363383415%","genetic",1,"0.045641259698767686%","performed",3,"0.11219147344801796%","abnormal",4,"0.027037988373665%","double-blind",4,"0.1544706694650641%","opening",2,"0.04195510803440319%","investigate",3,"0.17328850293452064%","without",2,"0.0228310502283105%"
"analyzed",1,"0.06793478260869565%","wavelengths",2,"0.03075030750307503%","","","","","","","anesthetic",2,"0.055393251050420166%","3-5",1,"0.027824151363383415%","load",1,"0.045641259698767686%","alfa",3,"0.11219147344801796%","deficits",4,"0.025680296241751575%","placebo-controlled",4,"0.19776071275510737%","multicenter",2,"0.10964092596745659%","week",3,"0.17946078259673318%","current",2,"0.050631211388665054%"
"biomedical",1,"0.06793478260869565%","650-850",2,"0.03075030750307503%","","","","","","","4",2,"0.05676592926327157%","established",1,"0.027824151363383415%","g",1,"0.045641259698767686%","measurement",3,"0.06136647708733868%","tolerated",4,"0.02863158297329162%","informed",4,"0.059609903114820235%","pd",2,"0.08040739748056822%","tolerability",3,"0.42806267806267806%","database",2,"0.0228310502283105%"
"us",1,"0.06793478260869565%","nm",2,"0.03075030750307503%","","","","","","","samples",2,"0.05676592926327157%","software",1,"0.027824151363383415%","apoe4",1,"0.045641259698767686%","65",3,"0.04657329757151353%","safe",4,"0.024999552170406496%","6-month",4,"0.029535176183220876%","once",2,"0.08040739748056822%","main",3,"0.2750894608998622%","evaluations",2,"0.05282339260897927%"
"fast",1,"0.06793478260869565%","neuronal",2,"0.03075030750307503%","","","","","","","visits",2,"0.013130252100840336%","parametric",1,"0.027824151363383415%","cardiovascular",1,"0.045641259698767686%","process",3,"0.06781193490054249%","might",4,"0.026316409406078965%","would",4,"0.025414778029518414%","q1w",2,"0.12210012210012211%","placebo-controlled",3,"0.07347859696852986%","key",2,"0.050631211388665054%"
"progress",1,"0.06793478260869565%","metabolism",2,"0.03075030750307503%","","","","","","","less",2,"0.055393251050420166%","generate",1,"0.027824151363383415%","sleep",1,"0.045641259698767686%","factor",3,"0.05008290505701235%","proof",4,"0.027217762232532455%","like",4,"0.0163608263591177%","dosing",2,"0.12210012210012211%","30",3,"0.037561833001985%","laboratory",2,"0.050631211388665054%"
"two",1,"0.06793478260869565%","tissue",2,"0.03075030750307503%","","","","","","","if",2,"0.055393251050420166%","maps",1,"0.027824151363383415%","produced",1,"0.045641259698767686%","loss",3,"0.04297319387799669%","concept",4,"0.027217762232532455%","active",4,"0.04667924706560951%","regimen",2,"0.12210012210012211%","24",3,"0.07347859696852986%","shared",2,"0.10945474080042976%"
"different",1,"0.06793478260869565%","region",2,"0.03075030750307503%","","","","","","","do",2,"0.10271897220426633%","corrected",1,"0.027824151363383415%","endogenous",1,"0.045641259698767686%","studies",3,"0.03946358639249786%","non-invasive",4,"0.09978587695673127%","sham",4,"0.05551465570783693%","injection",2,"0.10964092596745659%","first",3,"0.037396465967894546%","immersive",2,"0.0784313725490196%"
"namely",1,"0.06793478260869565%","accompanied",2,"0.03075030750307503%","","","","","","","setting",2,"0.013130252100840336%","multiple",1,"0.027824151363383415%","exogenous",1,"0.045641259698767686%","properties",3,"0.03595397890699904%","would",4,"0.022785138119057278%","choose",4,"0.026602819898909284%","aducanumab",2,"0.19436345966958213%","8",3,"0.037396465967894546%","technology",2,"0.0784313725490196%"
"analysis",1,"0.06793478260869565%","flow",2,"0.03075030750307503%","","","","","","","pharmacokinetics",2,"0.21008403361344538%","comparisons",1,"0.027824151363383415%","vary",1,"0.045641259698767686%","conversion",3,"0.03595397890699904%","successful",4,"0.028691507592914105%","7",4,"0.03842524106650038%","had",2,"0.19436345966958213%","16",3,"0.03747914948493977%","management",2,"0.0784313725490196%"
"candidate",1,"0.06793478260869565%","growing",2,"0.03075030750307503%","","","","","","","meganatural-az",2,"0.21008403361344538%","q",1,"0.027824151363383415%","determine",1,"0.045641259698767686%","aβ",3,"0.03595397890699904%","condition",4,"0.024873251470906892%","long-term",4,"0.07373309348568725%","received",2,"0.19436345966958213%","duration",3,"0.041487468101949504%","phases",2,"0.13725490196078433%"
"b",1,"0.06793478260869565%","body",2,"0.03075030750307503%","","","","","","","secondary",2,"0.21008403361344538%","cluster",1,"0.027824151363383415%","subclinical",1,"0.045641259698767686%","take",3,"0.03595397890699904%","treated",4,"0.028014559532345766%","extension",4,"0.12449582281984516%","alz-801",2,"0.14652014652014653%","self-administered",3,"0.05707762557077626%","its",2,"0.08062355376933382%"
"unbiased",1,"0.06793478260869565%","literature",2,"0.03075030750307503%","","","","","","","essential",2,"0.21008403361344538%","values",1,"0.027824151363383415%","intra-individual",1,"0.045641259698767686%","level",3,"0.03946358639249786%","valid",4,"0.026440846829336825%","main",4,"0.08874551509983429%","core",2,"0.09261740969058042%","arms",3,"0.03497281234720479%","healthy",2,"0.08062355376933382%"
"screening",1,"0.06793478260869565%","reporting",2,"0.03075030750307503%","","","","","","","data",2,"0.21008403361344538%","conservatively",1,"0.027824151363383415%","more",1,"0.045641259698767686%","better",3,"0.03595397890699904%","characterized",4,"0.023581935418870586%","tacs",4,"0.06435006435006435%","pk",2,"0.09261740969058042%","accrual",3,"0.05707762557077626%","intervention",2,"0.08062355376933382%"
"proteomics",1,"0.06793478260869565%","deviant",2,"0.03075030750307503%","","","","","","","guide",2,"0.21008403361344538%","type",1,"0.027824151363383415%","sensitive",1,"0.045641259698767686%","maintain",3,"0.04297319387799669%","shown",4,"0.032399046290307924%","either",4,"0.06962807033443852%","8",2,"0.09261740969058042%","determined",3,"0.05707762557077626%","imgts",2,"0.0784313725490196%"
"magnetic",1,"0.06793478260869565%","patterns",2,"0.03075030750307503%","","","","","","","future",2,"0.21008403361344538%","error",1,"0.027824151363383415%","than",1,"0.045641259698767686%","similar",3,"0.04648280136349551%","site",4,"0.05845813213200246%","days",4,"0.053520311321673585%","associated",2,"0.09869759869759871%","through",3,"0.025897310633122766%","vr",2,"0.0784313725490196%"
"resonance",1,"0.06793478260869565%","frontal",2,"0.03075030750307503%","","","","","","","mitigating",2,"0.21008403361344538%","t-test",1,"0.027824151363383415%","cross-sectional",1,"0.045641259698767686%","risks",3,"0.04648280136349551%","targeting",4,"0.0369338031804844%","activity",4,"0.028014753056319428%","stabilization",2,"0.09157509157509158%","poor",3,"0.02606267766721322%","periods",2,"0.0784313725490196%"
"scanner",1,"0.06793478260869565%","performing",2,"0.03075030750307503%","","","","","","","deterioration",2,"0.21008403361344538%","anova",1,"0.027824151363383415%","inter-individual",1,"0.045641259698767686%","scheduled",3,"0.08055853920515575%","12",4,"0.05492133297924476%","effective",4,"0.03857597333954602%","they",2,"0.05886970172684459%","prevent",3,"0.04196515248799665%","introduction",2,"0.08062355376933382%"
"evaluate",1,"0.06793478260869565%","line",2,"0.03075030750307503%","","","","","","","biomarker",2,"0.1552428200195741%","calculations",1,"0.027824151363383415%","detect",1,"0.045641259698767686%","indices",2,"0.08403361344537816%","could",4,"0.04707099116599085%","proposed",4,"0.042857824606345844%","determine",2,"0.1780874951606659%","delay",3,"0.041882468970951416%","demographic",2,"0.0784313725490196%"
"potential",1,"0.06793478260869565%","orientation",2,"0.03075030750307503%","","","","","","","sensitivity",2,"0.27472527472527475%","p",1,"0.027824151363383415%","during",1,"0.045641259698767686%","influenced",2,"0.08403361344537816%","oral",4,"0.02727768685215494%","conducted",4,"0.04585639363928424%","proposed",2,"0.05915409642117716%","levels",3,"0.09572051986349421%","characteristics",2,"0.0784313725490196%"
"benefits",1,"0.06793478260869565%","paradigm",2,"0.03075030750307503%","","","","","","","functional",2,"0.27472527472527475%","bonferroni",1,"0.027824151363383415%","similarly",1,"0.045641259698767686%","partnered",2,"0.08403361344537816%","hsv2",4,"0.02727768685215494%","lecanemab",4,"0.10582010582010581%","systematically",2,"0.05915409642117716%","long-term",3,"0.026260178101714177%","conditions",2,"0.08062355376933382%"
"protocols",1,"0.06793478260869565%","clearly",2,"0.03075030750307503%","","","","","","","detect",2,"0.27472527472527475%","correction",1,"0.027824151363383415%","would",1,"0.045641259698767686%","dance-based",2,"0.08403361344537816%","healthy",4,"0.055354220247837274%","change",4,"0.0507452256769708%","remote",2,"0.05915409642117716%","order",3,"0.058816812938273025%","such",2,"0.08062355376933382%"
"3d-mp",1,"0.06793478260869565%","value",2,"0.03075030750307503%","","","","","","","caused",2,"0.27472527472527475%","statistically",1,"0.027824151363383415%","influence",1,"0.045641259698767686%","african",2,"0.08403361344537816%","genotype",4,"0.05794884784246486%","cdr-sb",4,"0.11792463016952813%","caregiver-led",2,"0.05915409642117716%","while",3,"0.04724119757431364%","contact",2,"0.0784313725490196%"
"rage",1,"0.06793478260869565%","states",2,"0.03075030750307503%","","","","","","","donepezil",2,"0.27472527472527475%","significant",1,"0.027824151363383415%","stage",1,"0.045641259698767686%","aa",2,"0.08403361344537816%","csf",4,"0.0418744966617307%","time",4,"0.041671897075369384%","vulnerable",2,"0.05915409642117716%","time",3,"0.02609481106762372%","only",2,"0.13725490196078433%"
"t2",1,"0.06793478260869565%","observation",2,"0.03075030750307503%","","","","","","","hcl",2,"0.27472527472527475%","expected",1,"0.027824151363383415%","start",1,"0.045641259698767686%","caregiving",2,"0.05363120858099337%","aβ42",4,"0.040656552324362896%","however",4,"0.04708129160843697%","ps",2,"0.05915409642117716%","wristwatch",3,"0.057670126874279116%","virtual",2,"0.08062355376933382%"
"gre",1,"0.06793478260869565%","depict",2,"0.03075030750307503%","","","","","","","cholinesterase",2,"0.27472527472527475%","results",1,"0.027824151363383415%","screening",1,"0.045641259698767686%","adult",2,"0.07293826621557715%","measures",4,"0.031715770785211976%","potential",4,"0.05193682726851928%","home-based",2,"0.05915409642117716%","get",3,"0.04196515248799665%","severe",2,"0.0784313725490196%"
"dti",1,"0.06793478260869565%","cognitively",2,"0.03075030750307503%","","","","","","","inhibitor",2,"0.27472527472527475%","predict",1,"0.027824151363383415%","000",1,"0.045641259698767686%","offer",2,"0.05363120858099337%","informed",4,"0.029760099338015114%","eligible",4,"0.04605073008933242%","larger",2,"0.08248710112064149%","diagnosed",3,"0.044080447461697314%","around",2,"0.08062355376933382%"
"dtt",1,"0.06793478260869565%","prevalence",2,"0.030282726798645444%","","","","","","","adults",2,"0.27472527472527475%","compared",1,"0.027824151363383415%","volunteers",1,"0.045641259698767686%","generally",2,"0.058823529411764705%","factor",4,"0.04485657711464164%","required",4,"0.07443895854478955%","development",2,"0.04479080144351114%","genetic",3,"0.057670126874279116%","medical",2,"0.08062355376933382%"
"asl",1,"0.06793478260869565%","most",2,"0.030282726798645444%","","","","","","","genetic",2,"0.27472527472527475%","working",1,"0.027824151363383415%","nct01835717",1,"0.045641259698767686%","decreasing",2,"0.05100153268854712%","presence",4,"0.02730468456274908%","weekly",4,"0.07380463254750222%","such",2,"0.04258771695896225%","testing",3,"0.02609481106762372%","them",2,"0.08062355376933382%"
"mrs",1,"0.06793478260869565%","cause",2,"0.030282726798645444%","","","","","","","family",2,"0.27472527472527475%","retention",1,"0.027824151363383415%","complying",1,"0.045641259698767686%","small",2,"0.0399061854587461%","its",4,"0.02767338417711828%","im",4,"0.07561454283478455%","support",2,"0.06767228630582668%","how",3,"0.06431057109092926%","collect",2,"0.13725490196078433%"
"","","","s",2,"0.03075030750307503%","","","","","","","old",2,"0.1968503937007874%","enhanced",1,"0.027824151363383415%","much",1,"0.045641259698767686%","experimental",2,"0.07447546646152918%","differences",4,"0.024922470561937478%","eating",4,"0.08305647840531562%","increase",2,"0.04893438464109575%","high",3,"0.07322070577092084%","impression",2,"0.0784313725490196%"
"","","","importance",2,"0.03075030750307503%","","","","","","","develop",2,"0.1472533218503937%","parietal",1,"0.027824151363383415%","selection",1,"0.045641259698767686%","specifically",2,"0.04253586135119236%","language",4,"0.0544909673424346%","pressure",4,"0.14348647587056926%","access",2,"0.0695930546131496%","affected",3,"0.07704935561645256%","b",2,"0.13725490196078433%"
"","","","intensive",2,"0.03075030750307503%","","","","","","","methods",2,"0.13257820231487458%","episodic",1,"0.027824151363383415%","perfectly",1,"0.045641259698767686%","inhibits",2,"0.06184291898577613%","g",4,"0.029362293755509233%","basis",4,"0.03473320136702084%","more",2,"0.05915409642117716%","whether",3,"0.12080379348420583%","presence",2,"0.0784313725490196%"
"","","","contributing",2,"0.030282726798645444%","","","","","","","-pet",2,"0.1968503937007874%","hippocampus",1,"0.027824151363383415%","aware",1,"0.045641259698767686%","synthesis",2,"0.06184291898577613%","visits",4,"0.03406245168449787%","impact-ad",4,"0.042265426880811495%","computer",2,"0.026164311878597597%","dementia-related",3,"0.10822510822510822%","goal",2,"0.08062355376933382%"
"","","","processes",2,"0.03075030750307503%","","","","","","","body",2,"0.13257820231487458%","medial",1,"0.027824151363383415%","needs",1,"0.045641259698767686%","precursor",2,"0.04290611912855441%","residents",4,"0.04946821667078902%","bc",4,"0.042265426880811495%","individual",2,"0.026164311878597597%","total",3,"0.04311183855199055%","fully",2,"0.19607843137254902%"
"","","","result",2,"0.10595486389646505%","","","","","","","gene",2,"0.1472533218503937%","temporal",1,"0.027824151363383415%","selected",1,"0.045641259698767686%","app",2,"0.04290611912855441%","approaches",4,"0.042443042844972106%","longitudinal",4,"0.03044543461753371%","them",2,"0.03243949236980596%","six",3,"0.04311183855199055%","r61",2,"0.19607843137254902%"
"","","","options",2,"0.03075030750307503%","","","","","","","cn",2,"0.1968503937007874%","iii",1,"0.027824151363383415%","400",1,"0.045641259698767686%","drugs",2,"0.07447546646152918%","deferiprone",4,"0.0434593654932638%","system",4,"0.0501259311325839%","goal",2,"0.05309816234185982%","monitoring",3,"0.04294647151790009%","training",2,"0.19607843137254902%"
"","","","clinical",2,"0.0750410248732559%","","","","","","","purpose",2,"0.14635464936669756%","reduce",1,"0.027824151363383415%","fulfilling",1,"0.045641259698767686%","formation",2,"0.04290611912855441%","date",4,"0.03208610526081191%","utilization",4,"0.03992816825145786%","r",2,"0.026164311878597597%","caring",3,"0.01030715316429602%","senior",2,"0.19607843137254902%"
"","","","since",2,"0.03075030750307503%","","","","","","","longitudinal",2,"0.10040160642570281%","reaction",1,"0.027824151363383415%","inclusion",1,"0.045641259698767686%","several",2,"0.04290611912855441%","persons",4,"0.021993153668096108%","partners",4,"0.042265426880811495%","outcome",2,"0.026164311878597597%","upsetting",3,"0.01030715316429602%","process",2,"0.13944708318109852%"
"","","","especially",2,"0.030282726798645444%","","","","","","","status",2,"0.0990289282128514%","test",1,"0.027824151363383415%","phenotyping",1,"0.045641259698767686%","toxic",2,"0.06184291898577613%","educational",4,"0.024226432777987604%","routine",4,"0.060270498732037193%","secondary",2,"0.026164311878597597%","affect",3,"0.041037281877427986%","quality",2,"0.19607843137254902%"
"","","","interventions",2,"0.030282726798645444%","","","","","","","type",2,"0.0990289282128514%","within",1,"0.027824151363383415%","consisting",1,"0.045641259698767686%","than",2,"0.04290611912855441%","living",4,"0.03982087480907026%","multiple",4,"0.033279243920165055%","frequency",2,"0.026164311878597597%","due",3,"0.03611545628352351%","administer",2,"0.19607843137254902%"
"","","","effective",2,"0.03075030750307503%","","","","","","","compared",2,"0.0990289282128514%","cortical",1,"0.027824151363383415%","determination",1,"0.045641259698767686%","modifying",2,"0.04290611912855441%","physical",4,"0.04117561182778574%","participate",4,"0.03618015996164824%","literacy",2,"0.05309816234185982%","distance",3,"0.01030715316429602%","courses",2,"0.08281573498964803%"
"","","","likewise",2,"0.03075030750307503%","","","","","","","forms",2,"0.14635464936669756%","network",1,"0.027824151363383415%","quality",1,"0.045641259698767686%","confirm",2,"0.06309649166792024%","personalised",4,"0.021367521367521368%","utilize",4,"0.014541752760478721%","user",2,"0.026164311878597597%","like",3,"0.01030715316429602%","sleep",2,"0.08281573498964803%"
"","","","seems",2,"0.03075030750307503%","","","","","","","elderly",2,"0.09765625%","iv",1,"0.027824151363383415%","questionnaires",1,"0.045641259698767686%","pharmacokinetics",2,"0.07447546646152918%","disclosing",4,"0.021367521367521368%","question",4,"0.018625442354255915%","ten-item",2,"0.026164311878597597%","alternative",3,"0.0984024793548603%","diet",2,"0.08281573498964803%"
"","","","conduct",2,"0.030282726798645444%","","","","","","","65",2,"0.09765625%","cbf",1,"0.027824151363383415%","sleeping",1,"0.045641259698767686%","23-25",2,"0.06184291898577613%","usual",4,"0.03567010998562498%","new",4,"0.01845017156673155%","iu",2,"0.026164311878597597%","because",3,"0.023211304723909768%","include",2,"0.08281573498964803%"
"","","","detect",2,"0.03075030750307503%","","","","","","","spinal",2,"0.09765625%","v",1,"0.027824151363383415%","social",1,"0.045641259698767686%","addition",2,"0.0399061854587461%","tbi",4,"0.09267840593141799%","since",4,"0.029297101385557047%","percent",2,"0.026164311878597597%","40",3,"0.04095459836038276%","full",2,"0.08281573498964803%"
"","","","development",2,"0.03075030750307503%","","","","","","","users'",2,"0.06830601092896176%","default",1,"0.027824151363383415%","toxics",1,"0.045641259698767686%","silk",2,"0.06184291898577613%","personalized",4,"0.06588180840898232%","50",4,"0.018625442354255915%","3-item",2,"0.026164311878597597%","find",3,"0.019299971361332817%","engaging",2,"0.08281573498964803%"
"","","","today",2,"0.03075030750307503%","","","","","","","observation",2,"0.06830601092896176%","mode",1,"0.027824151363383415%","pollution",1,"0.045641259698767686%","purpose",2,"0.07839721254355402%","severity",4,"0.030829129598075728%","form",4,"0.018625442354255915%","rememberstuff",2,"0.026164311878597597%","sense",3,"0.01312769169912027%","users'",2,"0.08281573498964803%"
"","","","magnetic",2,"0.03075030750307503%","","","","","","","psychosocial",2,"0.06830601092896176%","visuospatial",1,"0.027824151363383415%","exposure",1,"0.045641259698767686%","half",2,"0.08710801393728222%","planning",4,"0.022618785968670847%","focused",4,"0.02577091735882644%","strongly",2,"0.026164311878597597%","power",3,"0.01047252019838648%","evidence",2,"0.08281573498964803%"
"","","","biomarkers",2,"0.030282726798645444%","","","","","","","intervention",2,"0.06830601092896176%","networks",1,"0.027824151363383415%","consist",1,"0.045641259698767686%","duration",2,"0.059048274089806285%","illness",4,"0.02133847732893476%","0",4,"0.018625442354255915%","acceptance",2,"0.026164311878597597%","increases",3,"0.01038983668134125%","changing",2,"0.08281573498964803%"
"","","","need",2,"0.030282726798645444%","","","","","","","called",2,"0.13030685161832703%","subnetworks",1,"0.027824151363383415%","every",1,"0.045641259698767686%","12-month",2,"0.07839721254355402%","making",4,"0.02005816868919868%","forms",4,"0.018625442354255915%","adapted",2,"0.026164311878597597%","available",3,"0.01030715316429602%","self-efficacy",2,"0.08281573498964803%"
"","","","before",2,"0.10595486389646505%","","","","","","","problems",2,"0.13030685161832703%","sample",1,"0.027824151363383415%","3-year",1,"0.045641259698767686%","placebo-controlled",2,"0.06652139328007887%","researchers",4,"0.02005816868919868%","considered",4,"0.028141417366598965%","standard",2,"0.0511773940345369%","videoconferencing",3,"0.01030715316429602%","dementia-related",2,"0.08281573498964803%"
"","","","occur",2,"0.030282726798645444%","","","","","","","investigational",2,"0.19230769230769232%","sizes",1,"0.027824151363383415%","visit",1,"0.045641259698767686%","preliminary",2,"0.07839721254355402%","occurrence",4,"0.02517940324814302%","conversion",4,"0.018625442354255915%","et",2,"0.028295909172221363%","known",3,"0.01312769169912027%","open-label",1,"0.11049723756906078%"
"","","","primarily",2,"0.030282726798645444%","","","","","","","drug",2,"0.19230769230769232%","calculated",1,"0.027824151363383415%","participant",1,"0.045641259698767686%","approximately",2,"0.06615798526882195%","trøndelag",4,"0.02517940324814302%","60",4,"0.02208596488257505%","al",2,"0.028295909172221363%","education",3,"0.041037281877427986%","long",1,"0.11049723756906078%"
"","","","associative",2,"0.03075030750307503%","","","","","","","anti-amyloid",2,"0.19230769230769232%","tool",1,"0.027824151363383415%","review",1,"0.045641259698767686%","40",2,"0.06036072965771674%","norway",4,"0.02517940324814302%","yrs",4,"0.018625442354255915%","seeks",2,"0.05302667515093469%","accessible",3,"0.03611545628352351%","term",1,"0.11049723756906078%"
"","","","executive",2,"0.03075030750307503%","","","","","","","title",1,"0.006565126050420168%","based",1,"0.027824151363383415%","samples",1,"0.045641259698767686%","administered",2,"0.06036072965771674%","proportion",4,"0.02517940324814302%","increase",4,"0.01614008319017844%","understand",2,"0.05302667515093469%","reducing",3,"0.043775136895207005%","designed",1,"0.11049723756906078%"
"","","","functions",2,"0.10595486389646505%","","","","","","","investigating",1,"0.006565126050420168%","pilot",1,"0.027824151363383415%","update",1,"0.045641259698767686%","tablets",2,"0.08710801393728222%","placebo-controlled",3,"0.10371039759290103%","design",4,"0.04176646139762524%","aging-in-place",2,"0.08003201280512205%","real-time",3,"0.01030715316429602%","pharmacokinetics",1,"0.11049723756906078%"
"","","","component",2,"0.10595486389646505%","","","","","","","evaluate",1,"0.006565126050420168%","80",1,"0.027824151363383415%","safely",1,"0.03759398496240601%","mg",2,"0.08710801393728222%","astaxanthin",3,"0.16968325791855204%","approximately",4,"0.05178957393856228%","long",2,"0.08003201280512205%","important",3,"0.013210375216165499%","pharmacodynamics",1,"0.11049723756906078%"
"","","","delayed",2,"0.030282726798645444%","","","","","","","electrical",1,"0.006565126050420168%","alpha",1,"0.027824151363383415%","educate",1,"0.03759398496240601%","000",2,"0.06652139328007887%","up",3,"0.09786009839188477%","mht",4,"0.056689342403628114%","term",2,"0.08003201280512205%","aspects",3,"0.01047252019838648%","open",1,"0.11049723756906078%"
"","","","visual",2,"0.03075030750307503%","","","","","","","size",1,"0.006565126050420168%","detect",1,"0.027824151363383415%","most",1,"0.03759398496240601%","tests",2,"0.07572903914367328%","examination",3,"0.07276780768804697%","prevention",4,"0.022015882975933175%","decision",2,"0.08003201280512205%","few",3,"0.01038983668134125%","label",1,"0.11049723756906078%"
"","","","und",2,"0.0750410248732559%","","","","","","","help",1,"0.006565126050420168%","difference",1,"0.027824151363383415%","common",1,"0.03759398496240601%","any",2,"0.06615798526882195%","end",3,"0.10412459975669315%","chronic",4,"0.032804177389430846%","changes",2,"0.05302667515093469%","information",3,"0.01594823023394452%","101",1,"0.11049723756906078%"
"","","","extended",2,"0.03075030750307503%","","","","","","","assessments",1,"0.006565126050420168%","placebo23",1,"0.027824151363383415%","form",1,"0.03759398496240601%","participation",2,"0.03361344537815126%","slow",3,"0.03950010195179122%","regimens",4,"0.1272978201984821%","social",2,"0.05937334283306818%","uses",3,"0.01312769169912027%","years",1,"0.11049723756906078%"
"","","","additional",2,"0.030282726798645444%","","","","","","","before",1,"0.006565126050420168%","estimate",1,"0.027824151363383415%","moving",1,"0.03759398496240601%","rating",2,"0.02842112454737993%","area",3,"0.03612982291844735%","through",4,"0.04001531389241285%","caregivers",2,"0.08003201280512205%","found",3,"0.01038983668134125%","dosing",1,"0.11049723756906078%"
"","","","nucleus",2,"0.03075030750307503%","","","","","","","followed-up",1,"0.006565126050420168%","need",1,"0.027824151363383415%","earlier",1,"0.03759398496240601%","part",2,"0.03977410900051338%","days",3,"0.03104631847658757%","internal",4,"0.016072645465875387%","environmental",2,"0.055229759635483586%","reduced",3,"0.01312769169912027%","12-week",1,"0.11049723756906078%"
"","","","point",2,"0.03075030750307503%","","","","","","","despite",1,"0.006565126050420168%","20-25",1,"0.027824151363383415%","time-points",1,"0.03759398496240601%","taking",2,"0.03361344537815126%","re-tested",3,"0.06305170239596469%","hospital",4,"0.03606649974724175%","decision-making",2,"0.08003201280512205%","did",3,"0.01030715316429602%","period",1,"0.11049723756906078%"
"","","","view",2,"0.03075030750307503%","","","","","","","remains",1,"0.006565126050420168%","thus",1,"0.027824151363383415%","focusing",1,"0.03759398496240601%","enrolled",2,"0.04898175486410781%","additional",3,"0.03689661767760385%","t-817ma",4,"0.1142857142857143%","inform",2,"0.05302667515093469%","novel",3,"0.01038983668134125%","120",1,"0.11049723756906078%"
